customer_id,cv_fold
cust_000001,0
cust_000002,1
cust_000003,2
cust_000004,3
cust_000005,4
cust_000006,0
cust_000007,1
cust_000008,2
cust_000009,3
cust_000010,4
cust_000012,0
cust_000013,1
cust_000014,2
cust_000015,3
cust_000016,4
cust_000017,0
cust_000018,1
cust_000019,2
cust_000020,3
cust_000021,4
cust_000024,0
cust_000025,1
cust_000026,2
cust_000027,3
cust_000029,4
cust_000031,0
cust_000033,1
cust_000034,2
cust_000036,3
cust_000037,4
cust_000038,0
cust_000039,1
cust_000040,2
cust_000041,3
cust_000042,4
cust_000043,0
cust_000044,1
cust_000045,2
cust_000046,3
cust_000047,4
cust_000048,0
cust_000049,1
cust_000050,2
cust_000051,3
cust_000052,4
cust_000053,0
cust_000055,1
cust_000056,2
cust_000057,3
cust_000058,4
cust_000060,0
cust_000061,1
cust_000062,2
cust_000063,3
cust_000065,4
cust_000067,0
cust_000068,1
cust_000069,2
cust_000070,3
cust_000071,4
cust_000073,0
cust_000074,1
cust_000075,2
cust_000076,3
cust_000078,4
cust_000080,0
cust_000081,1
cust_000082,2
cust_000083,3
cust_000084,4
cust_000085,0
cust_000086,1
cust_000088,2
cust_000089,3
cust_000091,4
cust_000092,0
cust_000093,1
cust_000094,2
cust_000095,3
cust_000096,4
cust_000097,0
cust_000098,1
cust_000100,2
cust_000101,3
cust_000102,4
cust_000103,0
cust_000104,1
cust_000105,2
cust_000106,3
cust_000107,4
cust_000108,0
cust_000109,1
cust_000110,2
cust_000112,3
cust_000113,4
cust_000114,0
cust_000115,1
cust_000116,2
cust_000117,3
cust_000118,4
cust_000119,0
cust_000120,1
cust_000121,2
cust_000123,3
cust_000124,4
cust_000126,0
cust_000127,1
cust_000128,2
cust_000130,3
cust_000131,4
cust_000133,0
cust_000135,1
cust_000136,2
cust_000137,3
cust_000138,4
cust_000139,0
cust_000140,1
cust_000141,2
cust_000142,3
cust_000143,4
cust_000144,0
cust_000145,1
cust_000147,2
cust_000148,3
cust_000149,4
cust_000150,0
cust_000151,1
cust_000152,2
cust_000153,3
cust_000154,4
cust_000155,0
cust_000156,1
cust_000157,2
cust_000158,3
cust_000159,4
cust_000160,0
cust_000162,1
cust_000163,2
cust_000164,3
cust_000165,4
cust_000166,0
cust_000167,1
cust_000168,2
cust_000169,3
cust_000170,4
cust_000171,0
cust_000172,1
cust_000173,2
cust_000175,3
cust_000176,4
cust_000178,0
cust_000179,1
cust_000180,2
cust_000181,3
cust_000182,4
cust_000183,0
cust_000184,1
cust_000185,2
cust_000186,3
cust_000189,4
cust_000193,0
cust_000194,1
cust_000195,2
cust_000196,3
cust_000197,4
cust_000198,0
cust_000201,1
cust_000202,2
cust_000204,3
cust_000205,4
cust_000206,0
cust_000207,1
cust_000208,2
cust_000209,3
cust_000212,4
cust_000213,0
cust_000214,1
cust_000215,2
cust_000217,3
cust_000218,4
cust_000219,0
cust_000220,1
cust_000221,2
cust_000222,3
cust_000223,4
cust_000224,0
cust_000225,1
cust_000226,2
cust_000227,3
cust_000229,4
cust_000230,0
cust_000231,1
cust_000232,2
cust_000233,3
cust_000235,4
cust_000236,0
cust_000237,1
cust_000238,2
cust_000239,3
cust_000240,4
cust_000241,0
cust_000243,1
cust_000244,2
cust_000245,3
cust_000246,4
cust_000247,0
cust_000248,1
cust_000251,2
cust_000252,3
cust_000253,4
cust_000254,0
cust_000255,1
cust_000256,2
cust_000257,3
cust_000258,4
cust_000259,0
cust_000260,1
cust_000261,2
cust_000262,3
cust_000263,4
cust_000265,0
cust_000266,1
cust_000267,2
cust_000268,3
cust_000270,4
cust_000271,0
cust_000272,1
cust_000273,2
cust_000274,3
cust_000275,4
cust_000276,0
cust_000277,1
cust_000278,2
cust_000279,3
cust_000280,4
cust_000281,0
cust_000282,1
cust_000286,2
cust_000287,3
cust_000288,4
cust_000290,0
cust_000291,1
cust_000292,2
cust_000293,3
cust_000294,4
cust_000295,0
cust_000296,1
cust_000297,2
cust_000298,3
cust_000300,4
cust_000301,0
cust_000302,1
cust_000303,2
cust_000305,3
cust_000306,4
cust_000307,0
cust_000308,1
cust_000309,2
cust_000311,3
cust_000312,4
cust_000313,0
cust_000314,1
cust_000315,2
cust_000316,3
cust_000317,4
cust_000318,0
cust_000319,1
cust_000320,2
cust_000321,3
cust_000322,4
cust_000323,0
cust_000324,1
cust_000325,2
cust_000326,3
cust_000327,4
cust_000329,0
cust_000330,1
cust_000331,2
cust_000332,3
cust_000333,4
cust_000335,0
cust_000336,1
cust_000337,2
cust_000338,3
cust_000339,4
cust_000340,0
cust_000341,1
cust_000342,2
cust_000344,3
cust_000345,4
cust_000346,0
cust_000347,1
cust_000349,2
cust_000350,3
cust_000351,4
cust_000352,0
cust_000353,1
cust_000354,2
cust_000355,3
cust_000356,4
cust_000357,0
cust_000358,1
cust_000360,2
cust_000361,3
cust_000362,4
cust_000363,0
cust_000364,1
cust_000365,2
cust_000366,3
cust_000367,4
cust_000368,0
cust_000369,1
cust_000370,2
cust_000371,3
cust_000373,4
cust_000374,0
cust_000375,1
cust_000376,2
cust_000377,3
cust_000378,4
cust_000379,0
cust_000380,1
cust_000381,2
cust_000382,3
cust_000383,4
cust_000384,0
cust_000385,1
cust_000386,2
cust_000387,3
cust_000388,4
cust_000389,0
cust_000391,1
cust_000393,2
cust_000394,3
cust_000396,4
cust_000397,0
cust_000399,1
cust_000400,2
cust_000401,3
cust_000402,4
cust_000403,0
cust_000407,1
cust_000409,2
cust_000411,3
cust_000412,4
cust_000413,0
cust_000414,1
cust_000415,2
cust_000416,3
cust_000417,4
cust_000418,0
cust_000419,1
cust_000420,2
cust_000421,3
cust_000422,4
cust_000423,0
cust_000424,1
cust_000425,2
cust_000426,3
cust_000427,4
cust_000428,0
cust_000429,1
cust_000430,2
cust_000431,3
cust_000432,4
cust_000433,0
cust_000434,1
cust_000438,2
cust_000439,3
cust_000440,4
cust_000441,0
cust_000442,1
cust_000443,2
cust_000445,3
cust_000446,4
cust_000449,0
cust_000450,1
cust_000451,2
cust_000452,3
cust_000453,4
cust_000454,0
cust_000455,1
cust_000457,2
cust_000458,3
cust_000459,4
cust_000460,0
cust_000461,1
cust_000462,2
cust_000463,3
cust_000464,4
cust_000465,0
cust_000466,1
cust_000467,2
cust_000468,3
cust_000469,4
cust_000470,0
cust_000472,1
cust_000473,2
cust_000474,3
cust_000475,4
cust_000476,0
cust_000477,1
cust_000478,2
cust_000479,3
cust_000481,4
cust_000482,0
cust_000483,1
cust_000484,2
cust_000485,3
cust_000486,4
cust_000487,0
cust_000488,1
cust_000489,2
cust_000490,3
cust_000491,4
cust_000492,0
cust_000493,1
cust_000494,2
cust_000495,3
cust_000496,4
cust_000497,0
cust_000498,1
cust_000499,2
cust_000500,3
cust_000501,4
cust_000502,0
cust_000503,1
cust_000504,2
cust_000505,3
cust_000507,4
cust_000508,0
cust_000509,1
cust_000511,2
cust_000512,3
cust_000513,4
cust_000516,0
cust_000518,1
cust_000519,2
cust_000520,3
cust_000521,4
cust_000522,0
cust_000523,1
cust_000524,2
cust_000525,3
cust_000527,4
cust_000528,0
cust_000529,1
cust_000530,2
cust_000531,3
cust_000532,4
cust_000533,0
cust_000534,1
cust_000535,2
cust_000537,3
cust_000538,4
cust_000539,0
cust_000540,1
cust_000541,2
cust_000542,3
cust_000543,4
cust_000545,0
cust_000546,1
cust_000547,2
cust_000548,3
cust_000549,4
cust_000550,0
cust_000551,1
cust_000552,2
cust_000553,3
cust_000554,4
cust_000556,0
cust_000557,1
cust_000558,2
cust_000559,3
cust_000562,4
cust_000563,0
cust_000564,1
cust_000567,2
cust_000568,3
cust_000569,4
cust_000570,0
cust_000571,1
cust_000572,2
cust_000573,3
cust_000574,4
cust_000575,0
cust_000576,1
cust_000577,2
cust_000579,3
cust_000580,4
cust_000581,0
cust_000582,1
cust_000585,2
cust_000587,3
cust_000588,4
cust_000589,0
cust_000590,1
cust_000591,2
cust_000593,3
cust_000596,4
cust_000597,0
cust_000598,1
cust_000599,2
cust_000600,3
cust_000601,4
cust_000602,0
cust_000603,1
cust_000604,2
cust_000605,3
cust_000606,4
cust_000607,0
