payment_id,natural_recovery_probability,retry_success_probability,nudge_success_probability,escalation_success_probability,net_value_wait,net_value_retry,net_value_nudge,net_value_escalate,incremental_value_retry,incremental_value_nudge,incremental_value_escalate,best_action
pay_000001_a1,0.3182,0.7796,0.4998,0.1076,254.26,617.88,384.33,-164.04,363.62,130.07,-418.31,RETRY
pay_000002_a2,0.2636,0.702,0.4377,0.0873,210.6,555.9,334.71,-180.24,345.3,124.11,-390.84,RETRY
pay_000003_a3,0.1812,0.6335,0.3823,0.01,144.79,501.15,290.48,-242.01,356.36,145.69,-386.8,RETRY
pay_000004_a4,0.102,0.5645,0.2712,0.01,81.48,446.04,201.69,-242.01,364.56,120.2,-323.49,RETRY
pay_000005_a1,0.2478,0.7035,0.4243,0.0628,197.95,557.12,324.01,-199.81,359.16,126.06,-397.76,RETRY
pay_000006_a2,0.195,0.6769,0.3822,0.01,155.84,535.87,290.41,-242.01,380.02,134.56,-397.85,RETRY
pay_000007_a1,0.086,0.5503,0.2874,0.01,68.73,434.68,214.65,-242.01,365.96,145.92,-310.74,RETRY
pay_000008_a2,0.0533,0.5118,0.2372,0.01,42.6,403.91,174.52,-242.01,361.32,131.92,-284.61,RETRY
pay_000009_a3,0.01,0.4204,0.1637,0.01,7.99,330.92,115.81,-242.01,322.93,107.82,-250.0,RETRY
pay_000010_a4,0.01,0.3744,0.0654,0.01,7.99,294.13,37.22,-242.01,286.14,29.23,-250.0,RETRY
pay_000011_a1,0.2071,0.7007,0.4322,0.0132,165.45,554.9,330.35,-239.49,389.44,164.89,-404.94,RETRY
pay_000012_a1,0.2544,0.7263,0.3901,0.0533,203.23,575.34,296.72,-207.44,372.11,93.49,-410.67,RETRY
pay_000013_a2,0.1568,0.6615,0.3381,0.01,125.31,523.56,255.1,-242.01,398.24,129.79,-367.32,RETRY
pay_000014_a3,0.1066,0.5782,0.282,0.01,85.21,456.98,210.34,-242.01,371.76,125.13,-327.22,RETRY
pay_000015_a4,0.041,0.5137,0.2239,0.01,32.79,405.47,163.89,-242.01,372.68,131.1,-274.8,RETRY
pay_000016_a1,0.0327,0.506,0.2005,0.01,26.15,399.3,145.2,-242.01,373.16,119.05,-268.16,RETRY
pay_000017_a2,0.01,0.4293,0.1355,0.01,7.99,337.99,93.27,-242.01,330.0,85.28,-250.0,RETRY
pay_000018_a3,0.01,0.4218,0.1328,0.01,7.99,331.99,91.14,-242.01,324.0,83.15,-250.0,RETRY
pay_000019_a1,0.4258,0.5856,0.4638,0.5154,638.28,872.82,680.2,522.54,234.55,41.92,-115.74,RETRY
pay_000020_a2,0.3431,0.4971,0.4376,0.4142,514.26,740.09,640.96,370.85,225.83,126.71,-143.41,RETRY
pay_000021_a3,0.2928,0.4751,0.3473,0.3831,438.95,707.15,505.58,324.29,268.2,66.63,-114.65,RETRY
pay_000022_a4,0.2104,0.398,0.2642,0.2732,315.46,591.6,381.03,159.54,276.14,65.57,-155.92,RETRY
pay_000023_a1,0.1828,0.3247,0.2728,0.2527,274.0,481.78,393.93,128.73,207.78,119.93,-145.27,RETRY
pay_000024_a2,0.1515,0.293,0.2374,0.222,227.09,434.19,340.85,82.81,207.1,113.76,-144.28,RETRY
pay_000025_a1,0.185,0.3553,0.2528,0.2717,277.31,527.57,363.95,157.32,250.26,86.65,-119.99,RETRY
pay_000026_a2,0.1229,0.2534,0.2009,0.185,184.29,374.78,286.21,27.37,190.5,101.92,-156.92,RETRY
pay_000027_a1,0.118,0.2917,0.1862,0.1896,176.94,432.31,264.06,34.15,255.37,87.12,-142.79,RETRY
pay_000028_a2,0.0459,0.2291,0.1262,0.1444,68.75,338.48,174.22,-33.53,269.72,105.47,-102.29,RETRY
pay_000029_a3,0.01,0.1232,0.0321,0.0571,14.99,179.64,33.06,-164.33,164.65,18.07,-179.32,RETRY
pay_000030_a4,0.01,0.1131,0.01,0.0311,14.99,164.57,-0.01,-203.43,149.58,-15.0,-218.42,RETRY
pay_000031_a1,0.1297,0.2489,0.171,0.1969,194.44,368.05,241.34,45.13,173.61,46.9,-149.31,RETRY
pay_000032_a2,0.1056,0.2893,0.1971,0.1991,158.24,428.64,280.43,48.43,270.39,122.18,-109.81,RETRY
pay_000033_a3,0.0108,0.1679,0.1042,0.0583,16.25,246.68,141.17,-162.65,230.42,124.91,-178.9,RETRY
pay_000034_a1,0.01,0.01,0.01,0.01,14.99,9.99,-0.01,-235.01,-5.0,-15.0,-250.0,WAIT
pay_000035_a1,0.0992,0.01,0.01,0.0836,148.7,9.99,-0.01,-124.69,-138.71,-148.71,-273.39,WAIT
pay_000036_a1,0.01,0.01,0.01,0.01,14.99,9.99,-0.01,-235.01,-5.0,-15.0,-250.0,WAIT
pay_000037_a2,0.01,0.01,0.01,0.01,14.99,9.99,-0.01,-235.01,-5.0,-15.0,-250.0,WAIT
pay_000038_a3,0.01,0.01,0.01,0.01,14.99,9.99,-0.01,-235.01,-5.0,-15.0,-250.0,WAIT
pay_000039_a4,0.01,0.01,0.01,0.01,14.99,9.99,-0.01,-235.01,-5.0,-15.0,-250.0,WAIT
pay_000040_a1,0.01,0.01,0.01,0.01,14.99,9.99,-0.01,-235.01,-5.0,-15.0,-250.0,WAIT
pay_000041_a1,0.0288,0.01,0.01,0.0147,43.13,9.99,-0.01,-227.97,-33.14,-43.14,-271.1,WAIT
pay_000042_a2,0.01,0.01,0.01,0.01,14.99,9.99,-0.01,-235.01,-5.0,-15.0,-250.0,WAIT
pay_000043_a3,0.01,0.01,0.01,0.01,14.99,9.99,-0.01,-235.01,-5.0,-15.0,-250.0,WAIT
pay_000044_a1,0.01,0.01,0.01,0.01,14.99,9.99,-0.01,-235.01,-5.0,-15.0,-250.0,WAIT
pay_000045_a2,0.01,0.01,0.01,0.01,14.99,9.99,-0.01,-235.01,-5.0,-15.0,-250.0,WAIT
pay_000046_a3,0.01,0.01,0.01,0.01,14.99,9.99,-0.01,-235.01,-5.0,-15.0,-250.0,WAIT
pay_000047_a4,0.01,0.01,0.01,0.01,14.99,9.99,-0.01,-235.01,-5.0,-15.0,-250.0,WAIT
pay_000048_a1,0.01,0.01,0.01,0.01,14.99,9.99,-0.01,-235.01,-5.0,-15.0,-250.0,WAIT
pay_000049_a2,0.01,0.01,0.01,0.01,14.99,9.99,-0.01,-235.01,-5.0,-15.0,-250.0,WAIT
