payment_id,billing_cycle_id,customer_id,subscription_id,amount,payment_method,failure_reason,attempt_number,cumulative_failures,dynamic_success_rate,days_active
pay_000001_a1,cyc_000001_002,cust_000001,sub_000001,799,upi,network_error,1,3,0.625,736
pay_000002_a2,cyc_000001_002,cust_000001,sub_000001,799,upi,network_error,2,3,0.625,736
pay_000003_a3,cyc_000001_002,cust_000001,sub_000001,799,upi,network_error,3,3,0.625,736
pay_000004_a4,cyc_000001_002,cust_000001,sub_000001,799,upi,network_error,4,3,0.625,736
pay_000005_a1,cyc_000001_004,cust_000001,sub_000001,799,upi,network_error,1,4,0.6,796
pay_000006_a2,cyc_000001_004,cust_000001,sub_000001,799,upi,network_error,2,4,0.6,796
pay_000007_a1,cyc_000001_005,cust_000001,sub_000001,799,upi,insufficient_funds,1,5,0.545,826
pay_000008_a2,cyc_000001_005,cust_000001,sub_000001,799,upi,insufficient_funds,2,5,0.545,826
pay_000009_a3,cyc_000001_005,cust_000001,sub_000001,799,upi,insufficient_funds,3,5,0.545,826
pay_000010_a4,cyc_000001_005,cust_000001,sub_000001,799,upi,insufficient_funds,4,5,0.545,826
pay_000011_a1,cyc_000001_006,cust_000001,sub_000001,799,upi,network_error,1,6,0.5,856
pay_000012_a1,cyc_000001_010,cust_000001,sub_000001,799,upi,temporary_bank_issue,1,7,0.562,976
pay_000013_a2,cyc_000001_010,cust_000001,sub_000001,799,upi,temporary_bank_issue,2,7,0.562,976
pay_000014_a3,cyc_000001_010,cust_000001,sub_000001,799,upi,temporary_bank_issue,3,7,0.562,976
pay_000015_a4,cyc_000001_010,cust_000001,sub_000001,799,upi,temporary_bank_issue,4,7,0.562,976
pay_000016_a1,cyc_000001_011,cust_000001,sub_000001,799,upi,bank_decline,1,8,0.529,1006
pay_000017_a2,cyc_000001_011,cust_000001,sub_000001,799,upi,bank_decline,2,8,0.529,1006
pay_000018_a3,cyc_000001_011,cust_000001,sub_000001,799,upi,bank_decline,3,8,0.529,1006
pay_000019_a1,cyc_000002_002,cust_000002,sub_000002,1499,card,network_error,1,5,0.545,128
pay_000020_a2,cyc_000002_002,cust_000002,sub_000002,1499,card,network_error,2,5,0.545,128
pay_000021_a3,cyc_000002_002,cust_000002,sub_000002,1499,card,network_error,3,5,0.545,128
pay_000022_a4,cyc_000002_002,cust_000002,sub_000002,1499,card,network_error,4,5,0.545,128
pay_000023_a1,cyc_000002_004,cust_000002,sub_000002,1499,card,expired_card,1,6,0.538,188
pay_000024_a2,cyc_000002_004,cust_000002,sub_000002,1499,card,expired_card,2,6,0.538,188
pay_000025_a1,cyc_000002_005,cust_000002,sub_000002,1499,card,insufficient_funds,1,7,0.5,218
pay_000026_a2,cyc_000002_005,cust_000002,sub_000002,1499,card,insufficient_funds,2,7,0.5,218
pay_000027_a1,cyc_000002_006,cust_000002,sub_000002,1499,card,expired_card,1,8,0.467,248
pay_000028_a2,cyc_000002_006,cust_000002,sub_000002,1499,card,expired_card,2,8,0.467,248
pay_000029_a3,cyc_000002_006,cust_000002,sub_000002,1499,card,expired_card,3,8,0.467,248
pay_000030_a4,cyc_000002_006,cust_000002,sub_000002,1499,card,expired_card,4,8,0.467,248
pay_000031_a1,cyc_000002_007,cust_000002,sub_000002,1499,card,authentication_failure,1,9,0.438,278
pay_000032_a2,cyc_000002_007,cust_000002,sub_000002,1499,card,authentication_failure,2,9,0.438,278
pay_000033_a3,cyc_000002_007,cust_000002,sub_000002,1499,card,authentication_failure,3,9,0.438,278
pay_000034_a1,cyc_000003_001,cust_000003,sub_000003,1499,upi,expired_card,1,4,0.2,402
pay_000035_a1,cyc_000003_002,cust_000003,sub_000003,1499,upi,network_error,1,5,0.167,432
pay_000036_a1,cyc_000003_003,cust_000003,sub_000003,1499,upi,bank_decline,1,6,0.143,462
pay_000037_a2,cyc_000003_003,cust_000003,sub_000003,1499,upi,bank_decline,2,6,0.143,462
pay_000038_a3,cyc_000003_003,cust_000003,sub_000003,1499,upi,bank_decline,3,6,0.143,462
pay_000039_a4,cyc_000003_003,cust_000003,sub_000003,1499,upi,bank_decline,4,6,0.143,462
pay_000040_a1,cyc_000003_004,cust_000003,sub_000003,1499,upi,insufficient_funds,1,7,0.125,492
pay_000041_a1,cyc_000003_005,cust_000003,sub_000003,1499,upi,temporary_bank_issue,1,8,0.111,522
pay_000042_a2,cyc_000003_005,cust_000003,sub_000003,1499,upi,temporary_bank_issue,2,8,0.111,522
pay_000043_a3,cyc_000003_005,cust_000003,sub_000003,1499,upi,temporary_bank_issue,3,8,0.111,522
pay_000044_a1,cyc_000003_006,cust_000003,sub_000003,1499,upi,authentication_failure,1,9,0.1,552
pay_000045_a2,cyc_000003_006,cust_000003,sub_000003,1499,upi,authentication_failure,2,9,0.1,552
pay_000046_a3,cyc_000003_006,cust_000003,sub_000003,1499,upi,authentication_failure,3,9,0.1,552
pay_000047_a4,cyc_000003_006,cust_000003,sub_000003,1499,upi,authentication_failure,4,9,0.1,552
pay_000048_a1,cyc_000003_007,cust_000003,sub_000003,1499,upi,bank_decline,1,10,0.091,582
pay_000049_a2,cyc_000003_007,cust_000003,sub_000003,1499,upi,bank_decline,2,10,0.091,582
pay_000050_a3,cyc_000003_007,cust_000003,sub_000003,1499,upi,bank_decline,3,10,0.091,582
pay_000051_a1,cyc_000003_008,cust_000003,sub_000003,1499,upi,insufficient_funds,1,11,0.083,612
pay_000052_a1,cyc_000003_009,cust_000003,sub_000003,1499,upi,authentication_failure,1,12,0.077,642
pay_000053_a1,cyc_000003_011,cust_000003,sub_000003,1499,upi,bank_decline,1,13,0.133,702
pay_000054_a2,cyc_000003_011,cust_000003,sub_000003,1499,upi,bank_decline,2,13,0.133,702
pay_000055_a1,cyc_000004_002,cust_000004,sub_000004,999,upi,temporary_bank_issue,1,1,0.8,694
pay_000056_a1,cyc_000004_003,cust_000004,sub_000004,999,upi,authentication_failure,1,2,0.667,724
pay_000057_a1,cyc_000004_005,cust_000004,sub_000004,999,upi,temporary_bank_issue,1,3,0.625,784
pay_000058_a2,cyc_000004_005,cust_000004,sub_000004,999,upi,temporary_bank_issue,2,3,0.625,784
pay_000059_a1,cyc_000005_001,cust_000005,sub_000005,1999,card,bank_decline,1,6,0.4,353
pay_000060_a1,cyc_000005_003,cust_000005,sub_000005,1999,card,bank_decline,1,7,0.417,413
pay_000061_a2,cyc_000005_003,cust_000005,sub_000005,1999,card,bank_decline,2,7,0.417,413
pay_000062_a1,cyc_000005_004,cust_000005,sub_000005,1999,card,insufficient_funds,1,8,0.385,443
pay_000063_a1,cyc_000005_006,cust_000005,sub_000005,1999,card,bank_decline,1,9,0.4,503
pay_000064_a1,cyc_000005_007,cust_000005,sub_000005,1999,card,insufficient_funds,1,10,0.375,533
pay_000065_a1,cyc_000005_008,cust_000005,sub_000005,1999,card,network_error,1,11,0.353,563
pay_000066_a1,cyc_000005_009,cust_000005,sub_000005,1999,card,expired_card,1,12,0.333,593
pay_000067_a1,cyc_000005_010,cust_000005,sub_000005,1999,card,temporary_bank_issue,1,13,0.316,623
pay_000068_a1,cyc_000005_011,cust_000005,sub_000005,1999,card,expired_card,1,14,0.3,653
pay_000069_a1,cyc_000005_012,cust_000005,sub_000005,1999,card,network_error,1,15,0.286,683
pay_000070_a1,cyc_000006_001,cust_000006,sub_000006,1999,card,temporary_bank_issue,1,5,0.444,860
pay_000071_a1,cyc_000006_003,cust_000006,sub_000006,1999,card,network_error,1,6,0.455,920
pay_000072_a2,cyc_000006_003,cust_000006,sub_000006,1999,card,network_error,2,6,0.455,920
pay_000073_a3,cyc_000006_003,cust_000006,sub_000006,1999,card,network_error,3,6,0.455,920
pay_000074_a4,cyc_000006_003,cust_000006,sub_000006,1999,card,network_error,4,6,0.455,920
pay_000075_a1,cyc_000006_004,cust_000006,sub_000006,1999,card,expired_card,1,7,0.417,950
