payment_id,policy_name,chosen_action,amount,p_success_for_chosen_action,action_cost,expected_recovery,expected_net_value
pay_000001_a1,WaitPolicy,WAIT,799,0.3182,0.0,254.2418,254.2418
pay_000002_a2,WaitPolicy,WAIT,799,0.2636,0.0,210.6164,210.6164
pay_000003_a3,WaitPolicy,WAIT,799,0.1812,0.0,144.7788,144.7788
pay_000004_a4,WaitPolicy,WAIT,799,0.102,0.0,81.498,81.498
pay_000005_a1,WaitPolicy,WAIT,799,0.2478,0.0,197.9922,197.9922
pay_000006_a2,WaitPolicy,WAIT,799,0.195,0.0,155.805,155.805
pay_000007_a1,WaitPolicy,WAIT,799,0.086,0.0,68.714,68.714
pay_000008_a2,WaitPolicy,WAIT,799,0.0533,0.0,42.5867,42.5867
pay_000009_a3,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000010_a4,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000011_a1,WaitPolicy,WAIT,799,0.2071,0.0,165.4729,165.4729
pay_000012_a1,WaitPolicy,WAIT,799,0.2544,0.0,203.2656,203.2656
pay_000013_a2,WaitPolicy,WAIT,799,0.1568,0.0,125.2832,125.2832
pay_000014_a3,WaitPolicy,WAIT,799,0.1066,0.0,85.1734,85.1734
pay_000015_a4,WaitPolicy,WAIT,799,0.041,0.0,32.759,32.759
pay_000016_a1,WaitPolicy,WAIT,799,0.0327,0.0,26.1273,26.1273
pay_000017_a2,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000018_a3,WaitPolicy,WAIT,799,0.01,0.0,7.99,7.99
pay_000019_a1,WaitPolicy,WAIT,1499,0.4258,0.0,638.2742,638.2742
pay_000020_a2,WaitPolicy,WAIT,1499,0.3431,0.0,514.3069,514.3069
pay_000021_a3,WaitPolicy,WAIT,1499,0.2928,0.0,438.9072,438.9072
pay_000022_a4,WaitPolicy,WAIT,1499,0.2104,0.0,315.3896,315.3896
pay_000023_a1,WaitPolicy,WAIT,1499,0.1828,0.0,274.0172,274.0172
pay_000024_a2,WaitPolicy,WAIT,1499,0.1515,0.0,227.0985,227.0985
pay_000025_a1,WaitPolicy,WAIT,1499,0.185,0.0,277.315,277.315
pay_000026_a2,WaitPolicy,WAIT,1499,0.1229,0.0,184.2271,184.2271
pay_000027_a1,WaitPolicy,WAIT,1499,0.118,0.0,176.882,176.882
pay_000028_a2,WaitPolicy,WAIT,1499,0.0459,0.0,68.8041,68.8041
pay_000029_a3,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000030_a4,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000031_a1,WaitPolicy,WAIT,1499,0.1297,0.0,194.4203,194.4203
pay_000032_a2,WaitPolicy,WAIT,1499,0.1056,0.0,158.2944,158.2944
pay_000033_a3,WaitPolicy,WAIT,1499,0.0108,0.0,16.1892,16.1892
pay_000034_a1,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000035_a1,WaitPolicy,WAIT,1499,0.0992,0.0,148.7008,148.7008
pay_000036_a1,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000037_a2,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000038_a3,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000039_a4,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000040_a1,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000041_a1,WaitPolicy,WAIT,1499,0.0288,0.0,43.1712,43.1712
pay_000042_a2,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000043_a3,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000044_a1,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000045_a2,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000046_a3,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000047_a4,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000048_a1,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000049_a2,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000050_a3,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000051_a1,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000052_a1,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000053_a1,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000054_a2,WaitPolicy,WAIT,1499,0.01,0.0,14.99,14.99
pay_000055_a1,WaitPolicy,WAIT,999,0.4498,0.0,449.3502,449.3502
pay_000056_a1,WaitPolicy,WAIT,999,0.2628,0.0,262.5372,262.5372
pay_000057_a1,WaitPolicy,WAIT,999,0.4129,0.0,412.4871,412.4871
pay_000058_a2,WaitPolicy,WAIT,999,0.3147,0.0,314.3853,314.3853
pay_000059_a1,WaitPolicy,WAIT,1999,0.1596,0.0,319.0404,319.0404
pay_000060_a1,WaitPolicy,WAIT,1999,0.1095,0.0,218.8905,218.8905
pay_000061_a2,WaitPolicy,WAIT,1999,0.0448,0.0,89.5552,89.5552
pay_000062_a1,WaitPolicy,WAIT,1999,0.0414,0.0,82.7586,82.7586
pay_000063_a1,WaitPolicy,WAIT,1999,0.0336,0.0,67.1664,67.1664
pay_000064_a1,WaitPolicy,WAIT,1999,0.01,0.0,19.99,19.99
pay_000065_a1,WaitPolicy,WAIT,1999,0.103,0.0,205.897,205.897
pay_000066_a1,WaitPolicy,WAIT,1999,0.01,0.0,19.99,19.99
pay_000067_a1,WaitPolicy,WAIT,1999,0.1003,0.0,200.4997,200.4997
pay_000068_a1,WaitPolicy,WAIT,1999,0.01,0.0,19.99,19.99
pay_000069_a1,WaitPolicy,WAIT,1999,0.01,0.0,19.99,19.99
pay_000070_a1,WaitPolicy,WAIT,1999,0.2624,0.0,524.5376,524.5376
pay_000071_a1,WaitPolicy,WAIT,1999,0.2124,0.0,424.5876,424.5876
pay_000072_a2,WaitPolicy,WAIT,1999,0.1291,0.0,258.0709,258.0709
pay_000073_a3,WaitPolicy,WAIT,1999,0.1168,0.0,233.4832,233.4832
pay_000074_a4,WaitPolicy,WAIT,1999,0.01,0.0,19.99,19.99
pay_000075_a1,WaitPolicy,WAIT,1999,0.01,0.0,19.99,19.99
pay_000076_a2,WaitPolicy,WAIT,1999,0.01,0.0,19.99,19.99
pay_000077_a1,WaitPolicy,WAIT,1999,0.01,0.0,19.99,19.99
pay_000078_a1,WaitPolicy,WAIT,1999,0.01,0.0,19.99,19.99
pay_000079_a1,WaitPolicy,WAIT,1999,0.01,0.0,19.99,19.99
pay_000080_a1,WaitPolicy,WAIT,1999,0.01,0.0,19.99,19.99
pay_000081_a2,WaitPolicy,WAIT,1999,0.01,0.0,19.99,19.99
pay_000082_a1,WaitPolicy,WAIT,1999,0.0214,0.0,42.7786,42.7786
pay_000083_a1,WaitPolicy,WAIT,1499,0.3795,0.0,568.8705,568.8705
pay_000084_a2,WaitPolicy,WAIT,1499,0.2733,0.0,409.6767,409.6767
pay_000085_a3,WaitPolicy,WAIT,1499,0.3008,0.0,450.8992,450.8992
pay_000086_a4,WaitPolicy,WAIT,1499,0.2192,0.0,328.5808,328.5808
pay_000087_a1,WaitPolicy,WAIT,1499,0.3106,0.0,465.5894,465.5894
pay_000088_a2,WaitPolicy,WAIT,1499,0.2448,0.0,366.9552,366.9552
pay_000089_a3,WaitPolicy,WAIT,1499,0.2304,0.0,345.3696,345.3696
pay_000090_a1,WaitPolicy,WAIT,4999,0.01,0.0,49.99,49.99
pay_000091_a2,WaitPolicy,WAIT,4999,0.01,0.0,49.99,49.99
pay_000092_a1,WaitPolicy,WAIT,4999,0.01,0.0,49.99,49.99
pay_000093_a2,WaitPolicy,WAIT,4999,0.01,0.0,49.99,49.99
pay_000094_a1,WaitPolicy,WAIT,4999,0.01,0.0,49.99,49.99
pay_000095_a2,WaitPolicy,WAIT,4999,0.01,0.0,49.99,49.99
pay_000096_a3,WaitPolicy,WAIT,4999,0.01,0.0,49.99,49.99
pay_000097_a1,WaitPolicy,WAIT,4999,0.01,0.0,49.99,49.99
pay_000098_a2,WaitPolicy,WAIT,4999,0.01,0.0,49.99,49.99
pay_000099_a1,WaitPolicy,WAIT,4999,0.01,0.0,49.99,49.99
pay_000100_a2,WaitPolicy,WAIT,4999,0.01,0.0,49.99,49.99
pay_000101_a1,WaitPolicy,WAIT,4999,0.01,0.0,49.99,49.99
pay_000102_a2,WaitPolicy,WAIT,4999,0.01,0.0,49.99,49.99
pay_000103_a1,WaitPolicy,WAIT,499,0.2386,0.0,119.0614,119.0614
pay_000104_a2,WaitPolicy,WAIT,499,0.1955,0.0,97.5545,97.5545
pay_000105_a1,WaitPolicy,WAIT,499,0.1449,0.0,72.3051,72.3051
pay_000106_a1,WaitPolicy,WAIT,499,0.1806,0.0,90.1194,90.1194
pay_000107_a2,WaitPolicy,WAIT,499,0.1066,0.0,53.1934,53.1934
pay_000108_a3,WaitPolicy,WAIT,499,0.0497,0.0,24.8003,24.8003
pay_000109_a1,WaitPolicy,WAIT,499,0.2053,0.0,102.4447,102.4447
pay_000110_a2,WaitPolicy,WAIT,499,0.1377,0.0,68.7123,68.7123
pay_000111_a3,WaitPolicy,WAIT,499,0.0725,0.0,36.1775,36.1775
pay_000112_a1,WaitPolicy,WAIT,499,0.7401,0.0,369.3099,369.3099
pay_000113_a2,WaitPolicy,WAIT,499,0.6677,0.0,333.1823,333.1823
pay_000114_a3,WaitPolicy,WAIT,499,0.6095,0.0,304.1405,304.1405
pay_000115_a4,WaitPolicy,WAIT,499,0.516,0.0,257.484,257.484
pay_000116_a1,WaitPolicy,WAIT,499,0.3665,0.0,182.8835,182.8835
pay_000117_a1,WaitPolicy,WAIT,499,0.1619,0.0,80.7881,80.7881
pay_000118_a1,WaitPolicy,WAIT,499,0.1191,0.0,59.4309,59.4309
pay_000119_a1,WaitPolicy,WAIT,499,0.2533,0.0,126.3967,126.3967
pay_000120_a1,WaitPolicy,WAIT,499,0.1267,0.0,63.2233,63.2233
pay_000121_a1,WaitPolicy,WAIT,499,0.0557,0.0,27.7943,27.7943
pay_000122_a1,WaitPolicy,WAIT,499,0.154,0.0,76.846,76.846
pay_000123_a2,WaitPolicy,WAIT,499,0.1136,0.0,56.6864,56.6864
pay_000124_a3,WaitPolicy,WAIT,499,0.0402,0.0,20.0598,20.0598
pay_000125_a4,WaitPolicy,WAIT,499,0.01,0.0,4.99,4.99
pay_000126_a1,WaitPolicy,WAIT,999,0.1882,0.0,188.0118,188.0118
pay_000127_a1,WaitPolicy,WAIT,999,0.2278,0.0,227.5722,227.5722
pay_000128_a2,WaitPolicy,WAIT,999,0.1643,0.0,164.1357,164.1357
pay_000129_a1,WaitPolicy,WAIT,999,0.1701,0.0,169.9299,169.9299
pay_000130_a1,WaitPolicy,WAIT,999,0.1305,0.0,130.3695,130.3695
pay_000131_a2,WaitPolicy,WAIT,999,0.0745,0.0,74.4255,74.4255
pay_000132_a1,WaitPolicy,WAIT,999,0.0923,0.0,92.2077,92.2077
pay_000133_a2,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000134_a1,WaitPolicy,WAIT,999,0.0453,0.0,45.2547,45.2547
pay_000135_a1,WaitPolicy,WAIT,999,0.0258,0.0,25.7742,25.7742
pay_000136_a1,WaitPolicy,WAIT,2999,0.2626,0.0,787.5374,787.5374
pay_000137_a2,WaitPolicy,WAIT,2999,0.2132,0.0,639.3868,639.3868
pay_000138_a3,WaitPolicy,WAIT,2999,0.1599,0.0,479.5401,479.5401
pay_000139_a4,WaitPolicy,WAIT,2999,0.0428,0.0,128.3572,128.3572
pay_000140_a1,WaitPolicy,WAIT,2999,0.3224,0.0,966.8776,966.8776
pay_000141_a2,WaitPolicy,WAIT,2999,0.2235,0.0,670.2765,670.2765
pay_000142_a3,WaitPolicy,WAIT,2999,0.1818,0.0,545.2182,545.2182
pay_000143_a1,WaitPolicy,WAIT,2999,0.2108,0.0,632.1892,632.1892
pay_000144_a2,WaitPolicy,WAIT,2999,0.107,0.0,320.893,320.893
pay_000145_a1,WaitPolicy,WAIT,2999,0.1986,0.0,595.6014,595.6014
pay_000146_a2,WaitPolicy,WAIT,2999,0.1314,0.0,394.0686,394.0686
pay_000147_a3,WaitPolicy,WAIT,2999,0.0884,0.0,265.1116,265.1116
pay_000148_a4,WaitPolicy,WAIT,2999,0.01,0.0,29.99,29.99
pay_000149_a1,WaitPolicy,WAIT,2999,0.1435,0.0,430.3565,430.3565
pay_000150_a2,WaitPolicy,WAIT,2999,0.1053,0.0,315.7947,315.7947
pay_000151_a3,WaitPolicy,WAIT,2999,0.0182,0.0,54.5818,54.5818
pay_000152_a4,WaitPolicy,WAIT,2999,0.01,0.0,29.99,29.99
pay_000153_a1,WaitPolicy,WAIT,9999,0.8604,0.0,8603.1396,8603.1396
pay_000154_a2,WaitPolicy,WAIT,9999,0.8305,0.0,8304.1695,8304.1695
pay_000155_a3,WaitPolicy,WAIT,9999,0.7551,0.0,7550.2449,7550.2449
pay_000156_a4,WaitPolicy,WAIT,9999,0.612,0.0,6119.388,6119.388
pay_000157_a1,WaitPolicy,WAIT,2999,0.1244,0.0,373.0756,373.0756
pay_000158_a1,WaitPolicy,WAIT,2999,0.1663,0.0,498.7337,498.7337
pay_000159_a2,WaitPolicy,WAIT,2999,0.1365,0.0,409.3635,409.3635
pay_000160_a1,WaitPolicy,WAIT,2999,0.0199,0.0,59.6801,59.6801
pay_000161_a1,WaitPolicy,WAIT,2999,0.1723,0.0,516.7277,516.7277
pay_000162_a2,WaitPolicy,WAIT,2999,0.0934,0.0,280.1066,280.1066
pay_000163_a3,WaitPolicy,WAIT,2999,0.0504,0.0,151.1496,151.1496
pay_000164_a4,WaitPolicy,WAIT,2999,0.01,0.0,29.99,29.99
pay_000165_a1,WaitPolicy,WAIT,2999,0.1153,0.0,345.7847,345.7847
pay_000166_a2,WaitPolicy,WAIT,2999,0.068,0.0,203.932,203.932
pay_000167_a1,WaitPolicy,WAIT,499,0.8109,0.0,404.6391,404.6391
pay_000168_a2,WaitPolicy,WAIT,499,0.7371,0.0,367.8129,367.8129
pay_000169_a1,WaitPolicy,WAIT,1499,0.7918,0.0,1186.9082,1186.9082
pay_000170_a2,WaitPolicy,WAIT,1499,0.7261,0.0,1088.4239,1088.4239
pay_000171_a1,WaitPolicy,WAIT,999,0.0928,0.0,92.7072,92.7072
pay_000172_a1,WaitPolicy,WAIT,999,0.0864,0.0,86.3136,86.3136
pay_000173_a1,WaitPolicy,WAIT,999,0.0623,0.0,62.2377,62.2377
pay_000174_a2,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000175_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000176_a2,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000177_a3,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000178_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
