payment_id,amount,attempt_number,dynamic_success_rate,cumulative_failures,consecutive_failed_cycles,notification_engagement_score,contact_response_score,payment_method,failure_reason,assigned_T,realized_Y
pay_000001_a1,799,1,0.625,3,0,0.3567,0.6705,upi,network_error,WAIT,0
pay_000002_a2,799,2,0.625,3,0,0.3567,0.6705,upi,network_error,RETRY_NUDGE,0
pay_000003_a3,799,3,0.625,3,0,0.3567,0.6705,upi,network_error,WAIT,0
pay_000004_a4,799,4,0.625,3,0,0.3567,0.6705,upi,network_error,WAIT,0
pay_000005_a1,799,1,0.6,4,0,0.3567,0.6705,upi,network_error,RETRY,0
pay_000006_a2,799,2,0.6,4,0,0.3567,0.6705,upi,network_error,RETRY,0
pay_000007_a1,799,1,0.545,5,1,0.3567,0.6705,upi,insufficient_funds,ESCALATE,0
pay_000008_a2,799,2,0.545,5,1,0.3567,0.6705,upi,insufficient_funds,ESCALATE,0
pay_000009_a3,799,3,0.545,5,1,0.3567,0.6705,upi,insufficient_funds,ESCALATE,0
pay_000010_a4,799,4,0.545,5,1,0.3567,0.6705,upi,insufficient_funds,ESCALATE,0
pay_000011_a1,799,1,0.5,6,2,0.3567,0.6705,upi,network_error,WAIT,1
pay_000012_a1,799,1,0.562,7,0,0.3567,0.6705,upi,temporary_bank_issue,WAIT,0
pay_000013_a2,799,2,0.562,7,0,0.3567,0.6705,upi,temporary_bank_issue,ESCALATE,0
pay_000014_a3,799,3,0.562,7,0,0.3567,0.6705,upi,temporary_bank_issue,WAIT,0
pay_000015_a4,799,4,0.562,7,0,0.3567,0.6705,upi,temporary_bank_issue,WAIT,0
pay_000016_a1,799,1,0.529,8,1,0.3567,0.6705,upi,bank_decline,WAIT,0
pay_000017_a2,799,2,0.529,8,1,0.3567,0.6705,upi,bank_decline,ESCALATE,0
pay_000018_a3,799,3,0.529,8,1,0.3567,0.6705,upi,bank_decline,RETRY,1
pay_000019_a1,1499,1,0.545,5,0,0.5598,0.5414,card,network_error,RETRY,1
pay_000020_a2,1499,2,0.545,5,0,0.5598,0.5414,card,network_error,WAIT,0
pay_000021_a3,1499,3,0.545,5,0,0.5598,0.5414,card,network_error,RETRY,0
pay_000022_a4,1499,4,0.545,5,0,0.5598,0.5414,card,network_error,RETRY_NUDGE,0
pay_000023_a1,1499,1,0.538,6,0,0.5598,0.5414,card,expired_card,ESCALATE,0
pay_000024_a2,1499,2,0.538,6,0,0.5598,0.5414,card,expired_card,RETRY_NUDGE,0
pay_000025_a1,1499,1,0.5,7,1,0.5598,0.5414,card,insufficient_funds,ESCALATE,1
pay_000026_a2,1499,2,0.5,7,1,0.5598,0.5414,card,insufficient_funds,WAIT,0
pay_000027_a1,1499,1,0.467,8,2,0.5598,0.5414,card,expired_card,RETRY,0
pay_000028_a2,1499,2,0.467,8,2,0.5598,0.5414,card,expired_card,RETRY_NUDGE,0
pay_000029_a3,1499,3,0.467,8,2,0.5598,0.5414,card,expired_card,RETRY_NUDGE,0
pay_000030_a4,1499,4,0.467,8,2,0.5598,0.5414,card,expired_card,WAIT,0
pay_000031_a1,1499,1,0.438,9,3,0.5598,0.5414,card,authentication_failure,WAIT,0
pay_000032_a2,1499,2,0.438,9,3,0.5598,0.5414,card,authentication_failure,RETRY,0
pay_000033_a3,1499,3,0.438,9,3,0.5598,0.5414,card,authentication_failure,WAIT,0
pay_000034_a1,1499,1,0.2,4,0,0.3286,0.1915,upi,expired_card,ESCALATE,0
pay_000035_a1,1499,1,0.167,5,1,0.3286,0.1915,upi,network_error,RETRY_NUDGE,0
pay_000036_a1,1499,1,0.143,6,2,0.3286,0.1915,upi,bank_decline,ESCALATE,0
pay_000037_a2,1499,2,0.143,6,2,0.3286,0.1915,upi,bank_decline,RETRY_NUDGE,0
pay_000038_a3,1499,3,0.143,6,2,0.3286,0.1915,upi,bank_decline,RETRY_NUDGE,0
pay_000039_a4,1499,4,0.143,6,2,0.3286,0.1915,upi,bank_decline,RETRY,0
pay_000040_a1,1499,1,0.125,7,3,0.3286,0.1915,upi,insufficient_funds,RETRY,0
pay_000041_a1,1499,1,0.111,8,4,0.3286,0.1915,upi,temporary_bank_issue,WAIT,0
pay_000042_a2,1499,2,0.111,8,4,0.3286,0.1915,upi,temporary_bank_issue,WAIT,0
pay_000043_a3,1499,3,0.111,8,4,0.3286,0.1915,upi,temporary_bank_issue,ESCALATE,0
pay_000044_a1,1499,1,0.1,9,5,0.3286,0.1915,upi,authentication_failure,RETRY,0
pay_000045_a2,1499,2,0.1,9,5,0.3286,0.1915,upi,authentication_failure,ESCALATE,0
pay_000046_a3,1499,3,0.1,9,5,0.3286,0.1915,upi,authentication_failure,RETRY,0
pay_000047_a4,1499,4,0.1,9,5,0.3286,0.1915,upi,authentication_failure,RETRY_NUDGE,0
