Scenario,Population,Policy,Rank,Recovery Rate,Gross Revenue (INR),Total Cost (INR),Net Value (INR),WAIT %,RETRY %,NUDGE %,ESCALATE %
Baseline (ESCALATE=250),Seed 42 (In-Sample Fit Check),CausalUpliftPolicy,1,27.05%,"INR 17,698,462.53","INR 248,400.00","INR 17,450,062.53",2.02%,66.46%,31.48%,0.04%
Baseline (ESCALATE=250),Seed 42 (In-Sample Fit Check),RuleBasedPolicy,3,25.31%,"INR 16,502,560.69","INR 1,680,195.00","INR 14,822,365.69",8.31%,36.99%,35.51%,19.18%
Baseline (ESCALATE=250),Seed 777 (OOS Population 1),CausalUpliftPolicy,1,27.63%,"INR 16,740,795.85","INR 253,805.00","INR 16,486,990.85",1.70%,65.05%,33.12%,0.13%
Baseline (ESCALATE=250),Seed 777 (OOS Population 1),RuleBasedPolicy,3,25.93%,"INR 15,988,721.53","INR 1,554,965.00","INR 14,433,756.53",8.01%,37.49%,36.51%,17.99%
Baseline (ESCALATE=250),Seed 555 (OOS Population 2),CausalUpliftPolicy,1,27.59%,"INR 17,756,733.62","INR 265,335.00","INR 17,491,398.62",1.93%,63.38%,34.52%,0.17%
Baseline (ESCALATE=250),Seed 555 (OOS Population 2),RuleBasedPolicy,3,25.69%,"INR 16,386,510.72","INR 1,568,825.00","INR 14,817,685.72",8.05%,37.08%,37.13%,17.75%
Lower Escalation Cost (ESCALATE=100),Seed 42 (In-Sample Fit Check),CausalUpliftPolicy,1,27.04%,"INR 17,689,576.22","INR 251,210.00","INR 17,438,366.22",1.97%,66.37%,31.46%,0.21%
Lower Escalation Cost (ESCALATE=100),Seed 42 (In-Sample Fit Check),RuleBasedPolicy,3,25.31%,"INR 16,502,560.69","INR 803,295.00","INR 15,699,265.69",8.31%,36.99%,35.51%,19.18%
Lower Escalation Cost (ESCALATE=100),Seed 777 (OOS Population 1),CausalUpliftPolicy,1,27.62%,"INR 16,727,040.57","INR 255,975.00","INR 16,471,065.57",1.61%,64.91%,33.07%,0.41%
Lower Escalation Cost (ESCALATE=100),Seed 777 (OOS Population 1),RuleBasedPolicy,3,25.93%,"INR 15,988,721.53","INR 753,065.00","INR 15,235,656.53",8.01%,37.49%,36.51%,17.99%
Lower Escalation Cost (ESCALATE=100),Seed 555 (OOS Population 2),CausalUpliftPolicy,1,27.59%,"INR 17,758,569.44","INR 264,660.00","INR 17,493,909.44",1.86%,63.28%,34.45%,0.41%
Lower Escalation Cost (ESCALATE=100),Seed 555 (OOS Population 2),RuleBasedPolicy,3,25.69%,"INR 16,386,510.72","INR 762,425.00","INR 15,624,085.72",8.05%,37.08%,37.13%,17.75%
Higher Escalation Cost (ESCALATE=500),Seed 42 (In-Sample Fit Check),CausalUpliftPolicy,1,27.05%,"INR 17,704,541.08","INR 247,675.00","INR 17,456,866.08",2.03%,66.47%,31.48%,0.02%
Higher Escalation Cost (ESCALATE=500),Seed 42 (In-Sample Fit Check),RuleBasedPolicy,4,25.31%,"INR 16,502,560.69","INR 3,141,695.00","INR 13,360,865.69",8.31%,36.99%,35.51%,19.18%
Higher Escalation Cost (ESCALATE=500),Seed 777 (OOS Population 1),CausalUpliftPolicy,1,27.63%,"INR 16,739,615.25","INR 250,885.00","INR 16,488,730.25",1.73%,65.10%,33.12%,0.04%
Higher Escalation Cost (ESCALATE=500),Seed 777 (OOS Population 1),RuleBasedPolicy,4,25.93%,"INR 15,988,721.53","INR 2,891,465.00","INR 13,097,256.53",8.01%,37.49%,36.51%,17.99%
Higher Escalation Cost (ESCALATE=500),Seed 555 (OOS Population 2),CausalUpliftPolicy,1,27.59%,"INR 17,766,532.40","INR 264,425.00","INR 17,502,107.40",1.96%,63.44%,34.52%,0.08%
Higher Escalation Cost (ESCALATE=500),Seed 555 (OOS Population 2),RuleBasedPolicy,4,25.69%,"INR 16,386,510.72","INR 2,912,825.00","INR 13,473,685.72",8.05%,37.08%,37.13%,17.75%
Zero Intervention Costs (all=0),Seed 42 (In-Sample Fit Check),CausalUpliftPolicy,1,27.01%,"INR 17,697,909.12",INR 0.00,"INR 17,697,909.12",0.83%,59.85%,37.62%,1.70%
Zero Intervention Costs (all=0),Seed 42 (In-Sample Fit Check),RuleBasedPolicy,2,25.31%,"INR 16,502,560.69",INR 0.00,"INR 16,502,560.69",8.31%,36.99%,35.51%,19.18%
Zero Intervention Costs (all=0),Seed 777 (OOS Population 1),CausalUpliftPolicy,1,27.52%,"INR 16,679,559.51",INR 0.00,"INR 16,679,559.51",0.71%,58.68%,38.48%,2.13%
Zero Intervention Costs (all=0),Seed 777 (OOS Population 1),RuleBasedPolicy,2,25.93%,"INR 15,988,721.53",INR 0.00,"INR 15,988,721.53",8.01%,37.49%,36.51%,17.99%
Zero Intervention Costs (all=0),Seed 555 (OOS Population 2),CausalUpliftPolicy,1,27.54%,"INR 17,743,826.02",INR 0.00,"INR 17,743,826.02",0.84%,57.59%,39.52%,2.05%
Zero Intervention Costs (all=0),Seed 555 (OOS Population 2),RuleBasedPolicy,3,25.69%,"INR 16,386,510.72",INR 0.00,"INR 16,386,510.72",8.05%,37.08%,37.13%,17.75%
