Population,Transition (Rule -> Causal),Payment Count,% of Total,Total Net Val Diff (INR),Total Recov Diff (INR),Total Cost Diff (INR),Mean Net Val Diff (INR),Mean Recov Diff (INR),Mean Cost Diff (INR),Mean Causal Uplift,Mean Rule Uplift
Seed 777 (OOS Population 1),ESCALATE -> RETRY,3741,12.59,1453348.5,536803.5,-916545.0,388.49,143.49,-245.0,+5.87 pp,+0.13 pp
Seed 777 (OOS Population 1),ESCALATE -> RETRY_NUDGE,1583,5.33,604405.27,232400.27,-372005.0,381.81,146.81,-235.0,+9.78 pp,+0.17 pp
Seed 777 (OOS Population 1),WAIT -> RETRY,1573,5.29,221349.07,229214.07,7865.0,140.72,145.72,5.0,+7.44 pp,+0.00 pp
Seed 777 (OOS Population 1),WAIT -> RETRY_NUDGE,498,1.68,75826.6,83296.6,7470.0,152.26,167.26,15.0,+9.17 pp,+0.00 pp
Seed 777 (OOS Population 1),ESCALATE -> WAIT,22,0.07,5500.0,0.0,-5500.0,250.0,0.0,-250.0,+0.00 pp,+0.00 pp
Seed 777 (OOS Population 1),RETRY_NUDGE -> WAIT,125,0.42,1661.83,-213.17,-1875.0,13.29,-1.71,-15.0,+0.00 pp,-0.45 pp
Seed 777 (OOS Population 1),RETRY -> RETRY,10999,37.01,0.0,0.0,0.0,0.0,0.0,0.0,+16.78 pp,+16.78 pp
Seed 777 (OOS Population 1),WAIT -> WAIT,291,0.98,0.0,0.0,0.0,0.0,0.0,0.0,+0.00 pp,+0.00 pp
Seed 777 (OOS Population 1),RETRY_NUDGE -> RETRY_NUDGE,7692,25.88,0.0,0.0,0.0,0.0,0.0,0.0,+16.33 pp,+16.33 pp
Seed 777 (OOS Population 1),RETRY -> ESCALATE,6,0.02,-2602.89,-1132.89,1470.0,-433.81,-188.81,245.0,+10.74 pp,+12.63 pp
Seed 777 (OOS Population 1),RETRY -> WAIT,68,0.23,-5086.41,-5426.41,-340.0,-74.8,-79.8,-5.0,+0.00 pp,+5.06 pp
Seed 777 (OOS Population 1),WAIT -> ESCALATE,18,0.06,-6913.65,-2413.65,4500.0,-384.09,-134.09,250.0,-0.83 pp,+0.00 pp
Seed 777 (OOS Population 1),RETRY -> RETRY_NUDGE,70,0.24,-7760.09,-7060.09,700.0,-110.86,-100.86,10.0,+5.63 pp,+16.86 pp
Seed 777 (OOS Population 1),RETRY_NUDGE -> ESCALATE,14,0.05,-17472.59,-14182.59,3290.0,-1248.04,-1013.04,235.0,+3.25 pp,+12.59 pp
Seed 777 (OOS Population 1),RETRY_NUDGE -> RETRY,3019,10.16,-269021.31,-299211.31,-30190.0,-89.11,-99.11,-10.0,+9.88 pp,+10.27 pp
Seed 555 (OOS Population 2),ESCALATE -> RETRY,3685,12.17,1322234.57,419409.57,-902825.0,358.82,113.82,-245.0,+5.68 pp,+0.26 pp
Seed 555 (OOS Population 2),ESCALATE -> RETRY_NUDGE,1646,5.43,745592.52,358782.52,-386810.0,452.97,217.97,-235.0,+9.75 pp,+0.43 pp
Seed 555 (OOS Population 2),WAIT -> RETRY,1520,5.02,279923.52,287523.52,7600.0,184.16,189.16,5.0,+8.04 pp,+0.00 pp
Seed 555 (OOS Population 2),RETRY_NUDGE -> RETRY,2924,9.65,211125.33,181885.33,-29240.0,72.2,62.2,-10.0,+10.73 pp,+9.22 pp
Seed 555 (OOS Population 2),WAIT -> RETRY_NUDGE,592,1.95,119754.73,128634.73,8880.0,202.29,217.29,15.0,+11.39 pp,+0.00 pp
Seed 555 (OOS Population 2),ESCALATE -> WAIT,45,0.15,11197.65,-52.35,-11250.0,248.84,-1.16,-250.0,+0.00 pp,+0.12 pp
Seed 555 (OOS Population 2),RETRY_NUDGE -> ESCALATE,11,0.04,7966.41,10551.41,2585.0,724.22,959.22,235.0,+8.88 pp,-1.03 pp
Seed 555 (OOS Population 2),WAIT -> WAIT,291,0.96,0.0,0.0,0.0,0.0,0.0,0.0,+0.00 pp,+0.00 pp
Seed 555 (OOS Population 2),RETRY_NUDGE -> RETRY_NUDGE,8150,26.91,0.0,0.0,0.0,0.0,0.0,0.0,+16.17 pp,+16.17 pp
Seed 555 (OOS Population 2),RETRY -> RETRY,11067,36.54,0.0,0.0,0.0,0.0,0.0,0.0,+17.20 pp,+17.20 pp
Seed 555 (OOS Population 2),WAIT -> ESCALATE,35,0.12,-2482.66,6267.34,8750.0,-70.93,179.07,250.0,+2.16 pp,+0.00 pp
Seed 555 (OOS Population 2),RETRY -> RETRY_NUDGE,69,0.23,-4013.63,-3323.63,690.0,-58.17,-48.17,10.0,+8.67 pp,+14.37 pp
Seed 555 (OOS Population 2),RETRY_NUDGE -> WAIT,160,0.53,-5343.87,-7743.87,-2400.0,-33.4,-48.4,-15.0,+0.00 pp,+2.57 pp
Seed 555 (OOS Population 2),RETRY -> ESCALATE,4,0.01,-5802.52,-4822.52,980.0,-1450.63,-1205.63,245.0,-2.97 pp,+9.09 pp
Seed 555 (OOS Population 2),RETRY -> WAIT,90,0.3,-6439.15,-6889.15,-450.0,-71.55,-76.55,-5.0,+0.00 pp,+5.42 pp
Seed 42 (In-Sample Fit Check),ESCALATE -> RETRY,4344,14.26,1598729.88,534449.88,-1064280.0,368.03,123.03,-245.0,+4.76 pp,+0.09 pp
Seed 42 (In-Sample Fit Check),ESCALATE -> RETRY_NUDGE,1424,4.67,527323.5,192683.5,-334640.0,370.31,135.31,-235.0,+8.33 pp,+0.25 pp
