customer_id,cv_fold
cust_000001,0
cust_000002,1
cust_000003,2
cust_000004,3
cust_000005,4
cust_000006,0
cust_000008,1
cust_000009,2
cust_000010,3
cust_000012,4
cust_000013,0
cust_000014,1
cust_000015,2
cust_000016,3
cust_000017,4
cust_000019,0
cust_000020,1
cust_000022,2
cust_000023,3
cust_000024,4
cust_000026,0
cust_000027,1
cust_000028,2
cust_000029,3
cust_000030,4
cust_000031,0
cust_000032,1
cust_000033,2
cust_000035,3
cust_000036,4
cust_000038,0
cust_000039,1
cust_000040,2
cust_000041,3
cust_000042,4
cust_000043,0
cust_000044,1
cust_000045,2
cust_000046,3
cust_000047,4
cust_000048,0
cust_000049,1
cust_000050,2
cust_000052,3
cust_000053,4
cust_000054,0
cust_000055,1
cust_000056,2
cust_000057,3
cust_000061,4
cust_000062,0
cust_000063,1
cust_000064,2
cust_000066,3
cust_000067,4
cust_000068,0
cust_000069,1
cust_000070,2
cust_000072,3
cust_000074,4
cust_000075,0
cust_000076,1
cust_000077,2
cust_000078,3
cust_000081,4
cust_000082,0
cust_000083,1
cust_000084,2
cust_000085,3
cust_000086,4
cust_000087,0
cust_000088,1
cust_000089,2
cust_000090,3
cust_000092,4
cust_000095,0
cust_000096,1
cust_000097,2
cust_000098,3
cust_000100,4
cust_000102,0
cust_000104,1
cust_000105,2
cust_000106,3
cust_000107,4
cust_000108,0
cust_000109,1
cust_000110,2
cust_000111,3
cust_000112,4
cust_000113,0
cust_000114,1
cust_000116,2
cust_000117,3
cust_000118,4
cust_000119,0
cust_000120,1
cust_000121,2
cust_000122,3
cust_000123,4
cust_000124,0
cust_000125,1
cust_000126,2
cust_000127,3
cust_000128,4
cust_000129,0
cust_000130,1
cust_000131,2
cust_000132,3
cust_000133,4
cust_000137,0
cust_000138,1
cust_000139,2
cust_000140,3
cust_000142,4
cust_000143,0
cust_000144,1
cust_000145,2
cust_000146,3
cust_000147,4
cust_000148,0
cust_000149,1
cust_000150,2
cust_000152,3
cust_000153,4
cust_000154,0
cust_000155,1
cust_000156,2
cust_000158,3
cust_000161,4
cust_000162,0
cust_000163,1
cust_000164,2
cust_000165,3
cust_000166,4
cust_000167,0
cust_000168,1
cust_000169,2
cust_000170,3
cust_000171,4
cust_000172,0
cust_000173,1
cust_000174,2
cust_000175,3
cust_000176,4
cust_000177,0
cust_000178,1
cust_000179,2
cust_000180,3
cust_000181,4
cust_000183,0
cust_000184,1
cust_000185,2
cust_000186,3
cust_000187,4
cust_000189,0
cust_000190,1
cust_000191,2
cust_000192,3
cust_000194,4
cust_000195,0
cust_000196,1
cust_000199,2
cust_000200,3
cust_000201,4
cust_000202,0
cust_000203,1
cust_000204,2
cust_000206,3
cust_000208,4
cust_000209,0
cust_000210,1
cust_000211,2
cust_000212,3
cust_000213,4
cust_000214,0
cust_000215,1
cust_000216,2
cust_000217,3
cust_000218,4
cust_000219,0
cust_000220,1
cust_000222,2
cust_000223,3
cust_000225,4
cust_000227,0
cust_000228,1
cust_000230,2
cust_000231,3
cust_000232,4
cust_000233,0
cust_000234,1
cust_000235,2
cust_000236,3
cust_000238,4
cust_000240,0
cust_000241,1
cust_000242,2
cust_000243,3
cust_000245,4
cust_000246,0
cust_000248,1
cust_000249,2
cust_000251,3
cust_000252,4
cust_000253,0
cust_000255,1
cust_000256,2
cust_000257,3
cust_000258,4
cust_000259,0
cust_000260,1
cust_000261,2
cust_000262,3
cust_000263,4
cust_000264,0
cust_000265,1
cust_000266,2
cust_000270,3
cust_000271,4
cust_000273,0
cust_000274,1
cust_000275,2
cust_000276,3
cust_000278,4
cust_000279,0
cust_000280,1
cust_000281,2
cust_000282,3
cust_000283,4
cust_000284,0
cust_000285,1
cust_000287,2
cust_000289,3
cust_000290,4
cust_000291,0
cust_000292,1
cust_000293,2
cust_000294,3
cust_000296,4
cust_000297,0
cust_000298,1
cust_000299,2
cust_000301,3
cust_000302,4
cust_000303,0
cust_000304,1
cust_000305,2
cust_000307,3
cust_000309,4
cust_000311,0
cust_000312,1
cust_000313,2
cust_000314,3
cust_000315,4
cust_000316,0
cust_000317,1
cust_000318,2
cust_000319,3
cust_000320,4
cust_000321,0
cust_000322,1
cust_000323,2
cust_000324,3
cust_000325,4
cust_000326,0
cust_000327,1
cust_000329,2
cust_000330,3
cust_000331,4
cust_000333,0
cust_000335,1
cust_000336,2
cust_000337,3
cust_000339,4
cust_000340,0
cust_000341,1
cust_000342,2
cust_000343,3
cust_000344,4
cust_000345,0
cust_000346,1
cust_000347,2
cust_000348,3
cust_000349,4
cust_000351,0
cust_000352,1
cust_000353,2
cust_000356,3
cust_000357,4
cust_000358,0
cust_000359,1
cust_000360,2
cust_000362,3
cust_000363,4
cust_000364,0
cust_000366,1
cust_000367,2
cust_000368,3
cust_000369,4
cust_000371,0
cust_000372,1
cust_000373,2
cust_000374,3
cust_000376,4
cust_000377,0
cust_000378,1
cust_000379,2
cust_000380,3
cust_000381,4
cust_000382,0
cust_000383,1
cust_000384,2
cust_000385,3
cust_000386,4
cust_000387,0
cust_000388,1
cust_000390,2
cust_000391,3
cust_000392,4
cust_000393,0
cust_000396,1
cust_000397,2
cust_000398,3
cust_000399,4
cust_000400,0
cust_000401,1
cust_000402,2
cust_000404,3
cust_000405,4
cust_000406,0
cust_000407,1
cust_000408,2
cust_000409,3
cust_000410,4
cust_000411,0
cust_000412,1
cust_000413,2
cust_000414,3
cust_000415,4
cust_000416,0
cust_000417,1
cust_000418,2
cust_000419,3
cust_000421,4
cust_000422,0
cust_000423,1
cust_000424,2
cust_000425,3
cust_000426,4
cust_000427,0
cust_000428,1
cust_000429,2
cust_000431,3
cust_000432,4
cust_000433,0
cust_000434,1
cust_000436,2
cust_000437,3
cust_000438,4
cust_000439,0
cust_000440,1
cust_000441,2
cust_000442,3
cust_000444,4
cust_000445,0
cust_000446,1
cust_000447,2
cust_000448,3
cust_000449,4
cust_000450,0
cust_000451,1
cust_000452,2
cust_000453,3
cust_000454,4
cust_000456,0
cust_000457,1
cust_000458,2
cust_000459,3
cust_000460,4
cust_000461,0
cust_000462,1
cust_000463,2
cust_000465,3
cust_000466,4
cust_000467,0
cust_000468,1
cust_000469,2
cust_000470,3
cust_000472,4
cust_000473,0
cust_000474,1
cust_000475,2
cust_000476,3
cust_000477,4
cust_000478,0
cust_000480,1
cust_000481,2
cust_000482,3
cust_000483,4
cust_000484,0
cust_000486,1
cust_000487,2
cust_000488,3
cust_000489,4
cust_000490,0
cust_000492,1
cust_000494,2
cust_000496,3
cust_000497,4
cust_000498,0
cust_000499,1
cust_000500,2
cust_000502,3
cust_000503,4
cust_000504,0
cust_000505,1
cust_000507,2
cust_000508,3
cust_000509,4
cust_000510,0
cust_000511,1
cust_000512,2
cust_000513,3
cust_000518,4
cust_000519,0
cust_000520,1
cust_000521,2
cust_000522,3
cust_000523,4
cust_000524,0
cust_000525,1
cust_000526,2
cust_000528,3
cust_000529,4
cust_000530,0
cust_000531,1
cust_000532,2
cust_000533,3
cust_000534,4
cust_000536,0
cust_000537,1
cust_000538,2
cust_000539,3
cust_000540,4
cust_000541,0
cust_000542,1
cust_000543,2
cust_000544,3
cust_000545,4
cust_000546,0
cust_000548,1
cust_000549,2
cust_000550,3
cust_000551,4
cust_000552,0
cust_000553,1
cust_000554,2
cust_000556,3
cust_000557,4
cust_000558,0
cust_000560,1
cust_000561,2
cust_000562,3
cust_000563,4
cust_000564,0
cust_000566,1
cust_000567,2
cust_000568,3
cust_000569,4
cust_000570,0
cust_000571,1
cust_000572,2
cust_000573,3
cust_000574,4
cust_000575,0
cust_000576,1
cust_000577,2
cust_000578,3
cust_000579,4
cust_000580,0
cust_000582,1
cust_000583,2
cust_000584,3
cust_000585,4
cust_000586,0
cust_000587,1
cust_000588,2
cust_000589,3
cust_000590,4
cust_000591,0
cust_000592,1
cust_000593,2
cust_000595,3
cust_000596,4
cust_000597,0
cust_000598,1
cust_000599,2
cust_000601,3
cust_000602,4
cust_000603,0
cust_000604,1
cust_000605,2
cust_000606,3
cust_000607,4
cust_000608,0
cust_000609,1
cust_000610,2
cust_000611,3
cust_000612,4
cust_000613,0
