payment_id,natural_recovery_probability,retry_success_probability,nudge_success_probability,escalation_success_probability,net_value_wait,net_value_retry,net_value_nudge,net_value_escalate,incremental_value_retry,incremental_value_nudge,incremental_value_escalate,best_action
pay_000001_a1,0.3006,0.3704,0.2732,0.4483,901.47,1105.72,804.27,1094.53,204.25,-97.21,193.06,RETRY
pay_000002_a2,0.2445,0.3568,0.2722,0.4048,733.28,1065.18,801.26,963.94,331.9,67.98,230.66,RETRY
pay_000003_a3,0.1502,0.17,0.1331,0.3236,450.53,504.84,384.06,720.57,54.32,-66.47,270.04,ESCALATE
pay_000004_a4,0.0767,0.1677,0.0615,0.2042,230.08,497.8,169.56,362.44,267.71,-60.52,132.35,RETRY
pay_000005_a1,0.0768,0.1548,0.0871,0.2325,230.22,459.24,246.12,447.16,229.02,15.89,216.94,RETRY
pay_000006_a1,0.1237,0.2344,0.1263,0.2703,370.84,697.87,363.73,560.76,327.03,-7.11,189.92,RETRY
pay_000007_a2,0.0273,0.1317,0.01,0.1667,81.84,389.87,14.99,249.83,308.03,-66.85,167.98,RETRY
pay_000008_a1,0.1416,0.202,0.1473,0.3038,424.65,600.89,426.66,660.95,176.23,2.01,236.29,ESCALATE
pay_000009_a2,0.1253,0.2204,0.1256,0.2772,375.81,655.86,361.63,581.21,280.05,-14.18,205.4,RETRY
pay_000010_a1,0.01,0.0915,0.01,0.1563,29.99,269.3,14.99,218.82,239.31,-15.0,188.83,RETRY
pay_000011_a1,0.1155,0.2221,0.1192,0.2602,346.52,661.06,342.58,530.2,314.54,-3.95,183.68,RETRY
pay_000012_a1,0.01,0.07,0.01,0.155,29.99,205.08,14.99,214.73,175.09,-15.0,184.74,ESCALATE
pay_000013_a1,0.01,0.0256,0.01,0.1109,29.99,71.7,14.99,82.61,41.71,-15.0,52.62,ESCALATE
pay_000014_a2,0.01,0.01,0.01,0.0738,29.99,24.99,14.99,-28.79,-5.0,-15.0,-58.78,WAIT
pay_000015_a3,0.01,0.01,0.01,0.01,29.99,24.99,14.99,-220.01,-5.0,-15.0,-250.0,WAIT
pay_000016_a4,0.01,0.01,0.01,0.01,29.99,24.99,14.99,-220.01,-5.0,-15.0,-250.0,WAIT
pay_000017_a1,0.01,0.01,0.01,0.01,9.99,4.99,-5.01,-240.01,-5.0,-15.0,-250.0,WAIT
pay_000018_a1,0.01,0.01,0.01,0.01,9.99,4.99,-5.01,-240.01,-5.0,-15.0,-250.0,WAIT
pay_000019_a2,0.01,0.01,0.01,0.01,9.99,4.99,-5.01,-240.01,-5.0,-15.0,-250.0,WAIT
pay_000020_a1,0.01,0.01,0.01,0.01,9.99,4.99,-5.01,-240.01,-5.0,-15.0,-250.0,WAIT
pay_000021_a2,0.01,0.01,0.01,0.01,9.99,4.99,-5.01,-240.01,-5.0,-15.0,-250.0,WAIT
pay_000022_a1,0.01,0.01,0.01,0.01,9.99,4.99,-5.01,-240.01,-5.0,-15.0,-250.0,WAIT
pay_000023_a2,0.01,0.01,0.01,0.01,9.99,4.99,-5.01,-240.01,-5.0,-15.0,-250.0,WAIT
pay_000024_a1,0.01,0.01,0.01,0.01,9.99,4.99,-5.01,-240.01,-5.0,-15.0,-250.0,WAIT
pay_000025_a1,0.01,0.01,0.01,0.01,9.99,4.99,-5.01,-240.01,-5.0,-15.0,-250.0,WAIT
pay_000026_a2,0.01,0.01,0.01,0.01,9.99,4.99,-5.01,-240.01,-5.0,-15.0,-250.0,WAIT
pay_000027_a3,0.01,0.01,0.01,0.01,9.99,4.99,-5.01,-240.01,-5.0,-15.0,-250.0,WAIT
pay_000028_a4,0.01,0.01,0.01,0.01,9.99,4.99,-5.01,-240.01,-5.0,-15.0,-250.0,WAIT
pay_000029_a1,0.01,0.01,0.01,0.01,9.99,4.99,-5.01,-240.01,-5.0,-15.0,-250.0,WAIT
pay_000030_a1,0.01,0.01,0.01,0.01,9.99,4.99,-5.01,-240.01,-5.0,-15.0,-250.0,WAIT
pay_000031_a2,0.01,0.01,0.01,0.01,9.99,4.99,-5.01,-240.01,-5.0,-15.0,-250.0,WAIT
pay_000032_a3,0.01,0.01,0.01,0.01,9.99,4.99,-5.01,-240.01,-5.0,-15.0,-250.0,WAIT
pay_000033_a4,0.01,0.01,0.01,0.01,9.99,4.99,-5.01,-240.01,-5.0,-15.0,-250.0,WAIT
pay_000034_a1,0.01,0.01,0.01,0.01,9.99,4.99,-5.01,-240.01,-5.0,-15.0,-250.0,WAIT
pay_000035_a1,0.01,0.01,0.01,0.01,9.99,4.99,-5.01,-240.01,-5.0,-15.0,-250.0,WAIT
pay_000036_a2,0.01,0.01,0.01,0.01,9.99,4.99,-5.01,-240.01,-5.0,-15.0,-250.0,WAIT
pay_000037_a1,0.01,0.01,0.01,0.01,9.99,4.99,-5.01,-240.01,-5.0,-15.0,-250.0,WAIT
pay_000038_a1,0.01,0.0762,0.01,0.01,19.99,147.39,4.99,-230.01,127.4,-15.0,-250.0,RETRY
pay_000039_a2,0.01,0.01,0.01,0.01,19.99,14.99,4.99,-230.01,-5.0,-15.0,-250.0,WAIT
pay_000040_a3,0.01,0.01,0.01,0.01,19.99,14.99,4.99,-230.01,-5.0,-15.0,-250.0,WAIT
pay_000041_a4,0.01,0.01,0.01,0.01,19.99,14.99,4.99,-230.01,-5.0,-15.0,-250.0,WAIT
pay_000042_a1,0.064,0.1515,0.0619,0.0456,127.93,297.8,108.83,-158.83,169.86,-19.11,-286.76,RETRY
pay_000043_a1,0.01,0.01,0.01,0.01,19.99,14.99,4.99,-230.01,-5.0,-15.0,-250.0,WAIT
pay_000044_a2,0.01,0.01,0.01,0.01,19.99,14.99,4.99,-230.01,-5.0,-15.0,-250.0,WAIT
pay_000045_a3,0.01,0.01,0.01,0.01,19.99,14.99,4.99,-230.01,-5.0,-15.0,-250.0,WAIT
pay_000046_a1,0.6776,0.7939,0.8117,0.5729,338.13,391.14,390.03,35.9,53.01,51.89,-302.24,RETRY
pay_000047_a2,0.6385,0.7624,0.7768,0.5123,318.59,375.46,372.63,5.66,56.87,54.04,-312.93,RETRY
pay_000048_a1,0.2057,0.6591,0.3259,0.1541,164.36,521.6,245.39,-126.88,357.24,81.03,-291.25,RETRY
pay_000049_a1,0.0769,0.5259,0.1648,0.0352,61.43,415.22,116.64,-221.85,353.78,55.21,-283.28,RETRY
pay_000050_a2,0.0262,0.4616,0.1141,0.01,20.95,363.86,76.19,-242.01,342.91,55.24,-262.96,RETRY
pay_000051_a1,0.121,0.5426,0.2028,0.0964,96.66,428.52,147.0,-172.98,331.86,50.35,-269.63,RETRY
pay_000052_a1,0.0548,0.4616,0.1773,0.01,43.75,363.85,126.66,-242.01,320.1,82.91,-285.76,RETRY
pay_000053_a1,0.0565,0.4718,0.1545,0.0642,45.1,371.96,108.46,-198.7,326.86,63.35,-243.8,RETRY
pay_000054_a1,0.0391,0.4664,0.1175,0.0122,31.24,367.66,78.91,-240.24,336.42,47.67,-271.48,RETRY
pay_000055_a1,0.1233,0.5765,0.1941,0.1022,98.53,455.59,140.07,-168.38,357.06,41.54,-266.91,RETRY
pay_000056_a1,0.8031,0.7317,0.7774,0.7143,2408.4,2189.34,2316.35,1892.06,-219.06,-92.05,-516.34,WAIT
pay_000057_a2,0.7106,0.6471,0.7153,0.628,2131.09,1935.59,2130.33,1633.35,-195.49,-0.76,-497.74,WAIT
pay_000058_a1,0.4827,0.5868,0.7183,0.5075,482.21,581.18,702.58,257.02,98.97,220.38,-225.18,NUDGE
pay_000059_a1,0.3148,0.4157,0.5401,0.3117,314.49,410.24,524.53,61.38,95.75,210.04,-253.11,NUDGE
pay_000060_a2,0.2667,0.3734,0.4575,0.2855,266.43,368.06,442.02,35.18,101.63,175.59,-231.25,NUDGE
pay_000061_a3,0.2124,0.3002,0.4384,0.2152,212.24,294.95,422.97,-35.02,82.71,210.74,-247.25,NUDGE
pay_000062_a4,0.1581,0.2739,0.3815,0.157,157.92,268.65,366.13,-93.2,110.73,208.21,-251.11,NUDGE
pay_000063_a1,0.3434,0.4458,0.5321,0.3444,343.08,440.32,516.62,94.1,97.24,173.54,-248.97,NUDGE
pay_000064_a2,0.2515,0.3881,0.4592,0.2708,251.25,382.7,443.74,20.51,131.45,192.5,-230.74,NUDGE
pay_000065_a1,0.2151,0.3015,0.4313,0.2583,214.92,296.19,415.91,8.02,81.27,200.99,-206.9,NUDGE
pay_000066_a1,0.2147,0.361,0.4145,0.2157,214.52,355.67,399.13,-34.51,141.14,184.61,-249.03,NUDGE
pay_000067_a1,0.2018,0.3172,0.4346,0.2279,201.61,311.86,419.12,-22.36,110.25,217.52,-223.97,NUDGE
pay_000068_a2,0.1714,0.2923,0.3626,0.1927,171.24,287.05,347.22,-57.51,115.81,175.98,-228.75,NUDGE
pay_000069_a3,0.0763,0.1519,0.2858,0.0726,76.22,146.75,270.53,-177.45,70.53,194.31,-253.66,NUDGE
pay_000070_a1,0.1859,0.281,0.3631,0.193,185.76,275.73,347.71,-57.2,89.97,161.95,-242.96,NUDGE
pay_000071_a1,0.1965,0.2721,0.3659,0.2,196.3,266.87,350.56,-50.18,70.57,154.27,-246.47,NUDGE
pay_000072_a2,0.0718,0.1395,0.2772,0.1145,71.69,134.39,261.92,-135.6,62.7,190.23,-207.29,NUDGE
pay_000073_a3,0.0521,0.1382,0.2736,0.094,52.04,133.06,258.3,-156.11,81.02,206.26,-208.14,NUDGE
pay_000074_a4,0.01,0.0241,0.1216,0.01,9.99,19.04,106.52,-240.01,9.05,96.53,-250.0,NUDGE
pay_000075_a1,0.1203,0.219,0.3273,0.1115,120.21,213.82,311.95,-138.61,93.61,191.75,-258.82,NUDGE
pay_000076_a2,0.0758,0.1603,0.2477,0.0603,75.7,155.11,232.47,-189.73,79.41,156.77,-265.43,NUDGE
pay_000077_a1,0.7015,0.6567,0.7448,0.7362,2103.69,1964.5,2218.64,1957.81,-139.18,114.95,-145.87,NUDGE
pay_000078_a1,0.1996,0.2597,0.6358,0.1539,1995.78,2591.66,6342.22,1289.12,595.89,4346.44,-706.65,NUDGE
pay_000079_a1,0.3504,0.4386,0.7652,0.3841,3503.23,4380.57,7636.68,3591.0,877.35,4133.45,87.77,NUDGE
pay_000080_a2,0.2602,0.3641,0.7208,0.2711,2601.36,3635.36,7191.87,2460.3,1034.0,4590.51,-141.05,NUDGE
pay_000081_a1,0.3172,0.4022,0.7361,0.3099,3171.26,4016.78,7345.39,2848.88,845.51,4174.13,-322.38,NUDGE
pay_000082_a1,0.1741,0.2467,0.6118,0.1838,1740.56,2461.76,6102.44,1587.66,721.21,4361.88,-152.9,NUDGE
pay_000083_a2,0.1725,0.2501,0.6151,0.1926,1724.64,2496.19,6135.01,1675.44,771.55,4410.36,-49.2,NUDGE
pay_000084_a3,0.1068,0.1815,0.5327,0.1223,1068.24,1809.45,5311.7,972.93,741.21,4243.46,-95.31,NUDGE
pay_000085_a1,0.01,0.2741,0.1773,0.0888,4.99,131.76,73.48,-205.68,126.77,68.49,-210.67,RETRY
pay_000086_a1,0.02,0.2526,0.2484,0.122,9.99,121.03,108.97,-189.14,111.03,98.98,-199.13,RETRY
pay_000087_a2,0.01,0.2361,0.1849,0.1219,4.99,112.81,77.27,-189.19,107.82,72.28,-194.18,RETRY
pay_000088_a1,0.01,0.1371,0.0551,0.01,4.99,63.43,12.49,-245.01,58.44,7.5,-250.0,RETRY
pay_000089_a1,0.01,0.2257,0.1411,0.0366,4.99,107.63,55.41,-231.75,102.64,50.42,-236.74,RETRY
pay_000090_a2,0.01,0.1501,0.0692,0.01,4.99,69.9,19.55,-245.01,64.91,14.56,-250.0,RETRY
pay_000091_a1,0.01,0.2366,0.1421,0.0591,4.99,113.07,55.92,-220.51,108.08,50.93,-225.5,RETRY
pay_000092_a1,0.01,0.1675,0.0814,0.01,4.99,78.6,25.63,-245.01,73.61,20.64,-250.0,RETRY
pay_000093_a2,0.01,0.0798,0.0157,0.01,4.99,34.81,-7.18,-245.01,29.82,-12.17,-250.0,RETRY
pay_000094_a3,0.01,0.0118,0.01,0.01,4.99,0.87,-10.01,-245.01,-4.12,-15.0,-250.0,WAIT
pay_000095_a4,0.01,0.01,0.01,0.01,4.99,-0.01,-10.01,-245.01,-5.0,-15.0,-250.0,WAIT
pay_000096_a1,0.01,0.2243,0.1568,0.01,4.99,106.93,63.26,-245.01,101.94,58.27,-250.0,RETRY
pay_000097_a2,0.01,0.2229,0.1385,0.0233,4.99,106.24,54.12,-238.38,101.25,49.13,-243.37,RETRY
pay_000098_a3,0.01,0.1031,0.0471,0.01,4.99,46.46,8.48,-245.01,41.47,3.49,-250.0,RETRY
pay_000099_a4,0.01,0.0874,0.01,0.01,4.99,38.63,-10.01,-245.01,33.64,-15.0,-250.0,RETRY
pay_000100_a1,0.01,0.0656,0.01,0.01,4.99,27.75,-10.01,-245.01,22.76,-15.0,-250.0,RETRY
pay_000101_a2,0.01,0.01,0.01,0.01,4.99,-0.01,-10.01,-245.01,-5.0,-15.0,-250.0,WAIT
pay_000102_a3,0.01,0.01,0.01,0.01,4.99,-0.01,-10.01,-245.01,-5.0,-15.0,-250.0,WAIT
pay_000103_a4,0.01,0.01,0.01,0.01,4.99,-0.01,-10.01,-245.01,-5.0,-15.0,-250.0,WAIT
pay_000104_a1,0.01,0.0277,0.01,0.01,4.99,8.82,-10.01,-245.01,3.83,-15.0,-250.0,RETRY
pay_000105_a2,0.01,0.01,0.01,0.01,4.99,-0.01,-10.01,-245.01,-5.0,-15.0,-250.0,WAIT
