payment_id,billing_cycle_id,customer_id,subscription_id,amount,payment_method,failure_reason,attempt_number,cumulative_failures,consecutive_failed_cycles,dynamic_success_rate,days_active,notification_engagement_score,contact_response_score
pay_000001_a1,cyc_000001_001,cust_000001,sub_000001,2999,netbanking,temporary_bank_issue,1,3,0,0.5,268,0.405,0.4877
pay_000002_a2,cyc_000001_001,cust_000001,sub_000001,2999,netbanking,temporary_bank_issue,2,3,0,0.5,268,0.405,0.4877
pay_000003_a3,cyc_000001_001,cust_000001,sub_000001,2999,netbanking,temporary_bank_issue,3,3,0,0.5,268,0.405,0.4877
pay_000004_a4,cyc_000001_001,cust_000001,sub_000001,2999,netbanking,temporary_bank_issue,4,3,0,0.5,268,0.405,0.4877
pay_000005_a1,cyc_000001_003,cust_000001,sub_000001,2999,netbanking,insufficient_funds,1,4,0,0.5,328,0.405,0.4877
pay_000006_a1,cyc_000001_004,cust_000001,sub_000001,2999,netbanking,bank_decline,1,5,1,0.444,358,0.405,0.4877
pay_000007_a2,cyc_000001_004,cust_000001,sub_000001,2999,netbanking,bank_decline,2,5,1,0.444,358,0.405,0.4877
pay_000008_a1,cyc_000001_005,cust_000001,sub_000001,2999,netbanking,network_error,1,6,2,0.4,388,0.405,0.4877
pay_000009_a2,cyc_000001_005,cust_000001,sub_000001,2999,netbanking,network_error,2,6,2,0.4,388,0.405,0.4877
pay_000010_a1,cyc_000001_007,cust_000001,sub_000001,2999,netbanking,insufficient_funds,1,7,0,0.417,448,0.405,0.4877
pay_000011_a1,cyc_000001_008,cust_000001,sub_000001,2999,netbanking,network_error,1,8,1,0.385,478,0.405,0.4877
pay_000012_a1,cyc_000001_010,cust_000001,sub_000001,2999,netbanking,bank_decline,1,9,0,0.4,538,0.405,0.4877
pay_000013_a1,cyc_000001_011,cust_000001,sub_000001,2999,netbanking,authentication_failure,1,10,1,0.375,568,0.405,0.4877
pay_000014_a2,cyc_000001_011,cust_000001,sub_000001,2999,netbanking,authentication_failure,2,10,1,0.375,568,0.405,0.4877
pay_000015_a3,cyc_000001_011,cust_000001,sub_000001,2999,netbanking,authentication_failure,3,10,1,0.375,568,0.405,0.4877
pay_000016_a4,cyc_000001_011,cust_000001,sub_000001,2999,netbanking,authentication_failure,4,10,1,0.375,568,0.405,0.4877
pay_000017_a1,cyc_000002_001,cust_000002,sub_000002,999,card,network_error,1,5,0,0.167,215,0.4,0.1508
pay_000018_a1,cyc_000002_002,cust_000002,sub_000002,999,card,bank_decline,1,6,1,0.143,245,0.4,0.1508
pay_000019_a2,cyc_000002_002,cust_000002,sub_000002,999,card,bank_decline,2,6,1,0.143,245,0.4,0.1508
pay_000020_a1,cyc_000002_003,cust_000002,sub_000002,999,card,network_error,1,7,2,0.125,275,0.4,0.1508
pay_000021_a2,cyc_000002_003,cust_000002,sub_000002,999,card,network_error,2,7,2,0.125,275,0.4,0.1508
pay_000022_a1,cyc_000002_004,cust_000002,sub_000002,999,card,network_error,1,8,3,0.111,305,0.4,0.1508
pay_000023_a2,cyc_000002_004,cust_000002,sub_000002,999,card,network_error,2,8,3,0.111,305,0.4,0.1508
pay_000024_a1,cyc_000002_005,cust_000002,sub_000002,999,card,insufficient_funds,1,9,4,0.1,335,0.4,0.1508
pay_000025_a1,cyc_000002_006,cust_000002,sub_000002,999,card,expired_card,1,10,5,0.091,365,0.4,0.1508
pay_000026_a2,cyc_000002_006,cust_000002,sub_000002,999,card,expired_card,2,10,5,0.091,365,0.4,0.1508
pay_000027_a3,cyc_000002_006,cust_000002,sub_000002,999,card,expired_card,3,10,5,0.091,365,0.4,0.1508
pay_000028_a4,cyc_000002_006,cust_000002,sub_000002,999,card,expired_card,4,10,5,0.091,365,0.4,0.1508
pay_000029_a1,cyc_000002_007,cust_000002,sub_000002,999,card,expired_card,1,11,6,0.083,395,0.4,0.1508
pay_000030_a1,cyc_000002_008,cust_000002,sub_000002,999,card,network_error,1,12,7,0.077,425,0.4,0.1508
pay_000031_a2,cyc_000002_008,cust_000002,sub_000002,999,card,network_error,2,12,7,0.077,425,0.4,0.1508
pay_000032_a3,cyc_000002_008,cust_000002,sub_000002,999,card,network_error,3,12,7,0.077,425,0.4,0.1508
pay_000033_a4,cyc_000002_008,cust_000002,sub_000002,999,card,network_error,4,12,7,0.077,425,0.4,0.1508
pay_000034_a1,cyc_000002_009,cust_000002,sub_000002,999,card,temporary_bank_issue,1,13,8,0.071,455,0.4,0.1508
pay_000035_a1,cyc_000002_010,cust_000002,sub_000002,999,card,insufficient_funds,1,14,9,0.067,485,0.4,0.1508
pay_000036_a2,cyc_000002_010,cust_000002,sub_000002,999,card,insufficient_funds,2,14,9,0.067,485,0.4,0.1508
pay_000037_a1,cyc_000002_011,cust_000002,sub_000002,999,card,authentication_failure,1,15,10,0.062,515,0.4,0.1508
pay_000038_a1,cyc_000003_001,cust_000003,sub_000003,1999,card,bank_decline,1,2,0,0.333,887,0.626,0.1988
