payment_id,policy_name,chosen_action,amount,p_success_for_chosen_action,action_cost,expected_recovery,expected_net_value
pay_000001_a1,WaitPolicy,WAIT,2999,0.3006,0.0,901.4994,901.4994
pay_000002_a2,WaitPolicy,WAIT,2999,0.2445,0.0,733.2555,733.2555
pay_000003_a3,WaitPolicy,WAIT,2999,0.1502,0.0,450.4498,450.4498
pay_000004_a4,WaitPolicy,WAIT,2999,0.0767,0.0,230.0233,230.0233
pay_000005_a1,WaitPolicy,WAIT,2999,0.0768,0.0,230.3232,230.3232
pay_000006_a1,WaitPolicy,WAIT,2999,0.1237,0.0,370.9763,370.9763
pay_000007_a2,WaitPolicy,WAIT,2999,0.0273,0.0,81.8727,81.8727
pay_000008_a1,WaitPolicy,WAIT,2999,0.1416,0.0,424.6584,424.6584
pay_000009_a2,WaitPolicy,WAIT,2999,0.1253,0.0,375.7747,375.7747
pay_000010_a1,WaitPolicy,WAIT,2999,0.01,0.0,29.99,29.99
pay_000011_a1,WaitPolicy,WAIT,2999,0.1155,0.0,346.3845,346.3845
pay_000012_a1,WaitPolicy,WAIT,2999,0.01,0.0,29.99,29.99
pay_000013_a1,WaitPolicy,WAIT,2999,0.01,0.0,29.99,29.99
pay_000014_a2,WaitPolicy,WAIT,2999,0.01,0.0,29.99,29.99
pay_000015_a3,WaitPolicy,WAIT,2999,0.01,0.0,29.99,29.99
pay_000016_a4,WaitPolicy,WAIT,2999,0.01,0.0,29.99,29.99
pay_000017_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000018_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000019_a2,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000020_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000021_a2,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000022_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000023_a2,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000024_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000025_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000026_a2,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000027_a3,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000028_a4,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000029_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000030_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000031_a2,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000032_a3,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000033_a4,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000034_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000035_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000036_a2,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000037_a1,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000038_a1,WaitPolicy,WAIT,1999,0.01,0.0,19.99,19.99
pay_000039_a2,WaitPolicy,WAIT,1999,0.01,0.0,19.99,19.99
pay_000040_a3,WaitPolicy,WAIT,1999,0.01,0.0,19.99,19.99
pay_000041_a4,WaitPolicy,WAIT,1999,0.01,0.0,19.99,19.99
pay_000042_a1,WaitPolicy,WAIT,1999,0.064,0.0,127.936,127.936
pay_000043_a1,WaitPolicy,WAIT,1999,0.01,0.0,19.99,19.99
pay_000044_a2,WaitPolicy,WAIT,1999,0.01,0.0,19.99,19.99
pay_000045_a3,WaitPolicy,WAIT,1999,0.01,0.0,19.99,19.99
pay_000046_a1,WaitPolicy,WAIT,499,0.6776,0.0,338.1224,338.1224
pay_000047_a2,WaitPolicy,WAIT,499,0.6385,0.0,318.6115,318.6115
pay_000048_a1,WaitPolicy,WAIT,799,0.2057,0.0,164.3543,164.3543
pay_000049_a1,WaitPolicy,WAIT,799,0.0769,0.0,61.4431,61.4431
pay_000050_a2,WaitPolicy,WAIT,799,0.0262,0.0,20.9338,20.9338
pay_000051_a1,WaitPolicy,WAIT,799,0.121,0.0,96.679,96.679
pay_000052_a1,WaitPolicy,WAIT,799,0.0548,0.0,43.7852,43.7852
pay_000053_a1,WaitPolicy,WAIT,799,0.0565,0.0,45.1435,45.1435
pay_000054_a1,WaitPolicy,WAIT,799,0.0391,0.0,31.2409,31.2409
pay_000055_a1,WaitPolicy,WAIT,799,0.1233,0.0,98.5167,98.5167
pay_000056_a1,WaitPolicy,WAIT,2999,0.8031,0.0,2408.4969,2408.4969
pay_000057_a2,WaitPolicy,WAIT,2999,0.7106,0.0,2131.0894,2131.0894
pay_000058_a1,WaitPolicy,WAIT,999,0.4827,0.0,482.2173,482.2173
pay_000059_a1,WaitPolicy,WAIT,999,0.3148,0.0,314.4852,314.4852
pay_000060_a2,WaitPolicy,WAIT,999,0.2667,0.0,266.4333,266.4333
pay_000061_a3,WaitPolicy,WAIT,999,0.2124,0.0,212.1876,212.1876
pay_000062_a4,WaitPolicy,WAIT,999,0.1581,0.0,157.9419,157.9419
pay_000063_a1,WaitPolicy,WAIT,999,0.3434,0.0,343.0566,343.0566
pay_000064_a2,WaitPolicy,WAIT,999,0.2515,0.0,251.2485,251.2485
pay_000065_a1,WaitPolicy,WAIT,999,0.2151,0.0,214.8849,214.8849
pay_000066_a1,WaitPolicy,WAIT,999,0.2147,0.0,214.4853,214.4853
pay_000067_a1,WaitPolicy,WAIT,999,0.2018,0.0,201.5982,201.5982
pay_000068_a2,WaitPolicy,WAIT,999,0.1714,0.0,171.2286,171.2286
pay_000069_a3,WaitPolicy,WAIT,999,0.0763,0.0,76.2237,76.2237
pay_000070_a1,WaitPolicy,WAIT,999,0.1859,0.0,185.7141,185.7141
pay_000071_a1,WaitPolicy,WAIT,999,0.1965,0.0,196.3035,196.3035
pay_000072_a2,WaitPolicy,WAIT,999,0.0718,0.0,71.7282,71.7282
pay_000073_a3,WaitPolicy,WAIT,999,0.0521,0.0,52.0479,52.0479
pay_000074_a4,WaitPolicy,WAIT,999,0.01,0.0,9.99,9.99
pay_000075_a1,WaitPolicy,WAIT,999,0.1203,0.0,120.1797,120.1797
pay_000076_a2,WaitPolicy,WAIT,999,0.0758,0.0,75.7242,75.7242
pay_000077_a1,WaitPolicy,WAIT,2999,0.7015,0.0,2103.7985,2103.7985
pay_000078_a1,WaitPolicy,WAIT,9999,0.1996,0.0,1995.8004,1995.8004
pay_000079_a1,WaitPolicy,WAIT,9999,0.3504,0.0,3503.6496,3503.6496
pay_000080_a2,WaitPolicy,WAIT,9999,0.2602,0.0,2601.7398,2601.7398
pay_000081_a1,WaitPolicy,WAIT,9999,0.3172,0.0,3171.6828,3171.6828
pay_000082_a1,WaitPolicy,WAIT,9999,0.1741,0.0,1740.8259,1740.8259
pay_000083_a2,WaitPolicy,WAIT,9999,0.1725,0.0,1724.8275,1724.8275
pay_000084_a3,WaitPolicy,WAIT,9999,0.1068,0.0,1067.8932,1067.8932
pay_000085_a1,WaitPolicy,WAIT,499,0.01,0.0,4.99,4.99
pay_000086_a1,WaitPolicy,WAIT,499,0.02,0.0,9.98,9.98
pay_000087_a2,WaitPolicy,WAIT,499,0.01,0.0,4.99,4.99
pay_000088_a1,WaitPolicy,WAIT,499,0.01,0.0,4.99,4.99
pay_000089_a1,WaitPolicy,WAIT,499,0.01,0.0,4.99,4.99
pay_000090_a2,WaitPolicy,WAIT,499,0.01,0.0,4.99,4.99
pay_000091_a1,WaitPolicy,WAIT,499,0.01,0.0,4.99,4.99
pay_000092_a1,WaitPolicy,WAIT,499,0.01,0.0,4.99,4.99
pay_000093_a2,WaitPolicy,WAIT,499,0.01,0.0,4.99,4.99
pay_000094_a3,WaitPolicy,WAIT,499,0.01,0.0,4.99,4.99
pay_000095_a4,WaitPolicy,WAIT,499,0.01,0.0,4.99,4.99
pay_000096_a1,WaitPolicy,WAIT,499,0.01,0.0,4.99,4.99
pay_000097_a2,WaitPolicy,WAIT,499,0.01,0.0,4.99,4.99
pay_000098_a3,WaitPolicy,WAIT,499,0.01,0.0,4.99,4.99
pay_000099_a4,WaitPolicy,WAIT,499,0.01,0.0,4.99,4.99
pay_000100_a1,WaitPolicy,WAIT,499,0.01,0.0,4.99,4.99
pay_000101_a2,WaitPolicy,WAIT,499,0.01,0.0,4.99,4.99
pay_000102_a3,WaitPolicy,WAIT,499,0.01,0.0,4.99,4.99
pay_000103_a4,WaitPolicy,WAIT,499,0.01,0.0,4.99,4.99
pay_000104_a1,WaitPolicy,WAIT,499,0.01,0.0,4.99,4.99
pay_000105_a2,WaitPolicy,WAIT,499,0.01,0.0,4.99,4.99
pay_000106_a1,WaitPolicy,WAIT,499,0.01,0.0,4.99,4.99
