Arm,Decile,Count,Min Prob,Max Prob,Mean Predicted Prob,Observed Outcome Rate,Calibration Gap
ESCALATE,1,760,0.0018359265064745267,0.012282015457096737,0.008461753653379223,0.018421052631578946,-0.009959298978199723
ESCALATE,2,759,0.012291990543164457,0.0196917408065997,0.015858800813617385,0.017127799736495388,-0.0012689989228780035
ESCALATE,3,759,0.01971517720915245,0.029213738450940066,0.02427085365564546,0.015810276679841896,0.008460576975803564
ESCALATE,4,759,0.029216303646999533,0.04227052004965033,0.03517742885764106,0.019762845849802372,0.015414583007838687
ESCALATE,5,760,0.042270707023308554,0.06284968213245082,0.05164010604096916,0.034210526315789476,0.01742957972517968
ESCALATE,6,759,0.06286430860805145,0.09465957678973869,0.07726362835055874,0.07246376811594203,0.004799860234616704
ESCALATE,7,759,0.09473336960978095,0.1416808204204149,0.1162722421223504,0.155467720685112,-0.03919547856276159
ESCALATE,8,759,0.14172571803507655,0.22633885541788573,0.17968049194616198,0.2002635046113307,-0.02058301266516871
ESCALATE,9,759,0.22704327978246527,0.4005587293428795,0.2993553379616091,0.27140974967061926,0.027945588290989865
ESCALATE,10,760,0.4005641583949455,0.9113449147720454,0.5889203295489337,0.5907894736842105,-0.0018691441352768345
RETRY,1,751,0.006171162194159987,0.040002210847197024,0.02733642877784943,0.013315579227696404,0.014020849550153026
RETRY,2,750,0.040090587957521795,0.06521000145809534,0.05246908308068487,0.024,0.028469083080684868
RETRY,3,750,0.06528817193416651,0.09223274086121516,0.0782535904632975,0.08,-0.0017464095367025062
RETRY,4,751,0.09225238957486513,0.12863622859949525,0.11037312079389676,0.11717709720372836,-0.0068039764098316025
RETRY,5,750,0.1286566776842754,0.17350615845129735,0.14983826392194893,0.16666666666666666,-0.016828402744717724
RETRY,6,750,0.17360837520232505,0.2315049999196584,0.2011938397272629,0.228,-0.026806160272737106
RETRY,7,751,0.2315287082468607,0.3086684874218831,0.2670142393205637,0.2862849533954727,-0.019270714074909046
RETRY,8,750,0.3087643205743526,0.42433058580582683,0.36519912424592865,0.37733333333333335,-0.012134209087404701
RETRY,9,750,0.4249224806374806,0.5818571046097983,0.5008956120020169,0.49866666666666665,0.0022289453353502853
RETRY,10,751,0.5819423422519061,0.9591225181604416,0.7120705625592558,0.6724367509986684,0.03963381156058743
RETRY_NUDGE,1,771,0.004649729103369977,0.03330135808559202,0.022401531128709233,0.019455252918287938,0.002946278210421295
RETRY_NUDGE,2,771,0.03333546342694129,0.05318431741642505,0.04293150889261957,0.02204928664072633,0.020882222251893238
RETRY_NUDGE,3,771,0.05328055290445007,0.07679230986176272,0.06473808865059141,0.04409857328145266,0.02063951536913875
RETRY_NUDGE,4,771,0.07679683423038905,0.11008635462806508,0.0929114749274804,0.08430609597924774,0.00860537894823267
RETRY_NUDGE,5,771,0.11008699881291978,0.15249339389114766,0.13047568759587688,0.13618677042801555,-0.00571108283213867
RETRY_NUDGE,6,770,0.15250438679722886,0.20800304065291578,0.17823580518189172,0.21168831168831168,-0.033452506506419954
RETRY_NUDGE,7,771,0.20823940669259935,0.2750285232747778,0.2399982031227537,0.2905317769130999,-0.0505335737903462
RETRY_NUDGE,8,771,0.275031597700807,0.37171156531559957,0.32115300361399207,0.32684824902723736,-0.005695245413245287
RETRY_NUDGE,9,771,0.371899802669833,0.5265961973706824,0.44338594972262796,0.4682230869001297,-0.024837137177501745
RETRY_NUDGE,10,771,0.5270724893904113,0.9354698347781214,0.6616602322040249,0.5992217898832685,0.06243844232075646
WAIT,1,767,0.0014297929076207319,0.009560813541415705,0.006284080101851928,0.011734028683181226,-0.005449948581329298
WAIT,2,767,0.009571067039627809,0.016971743987301013,0.013108441716026688,0.009126466753585397,0.003981974962441291
WAIT,3,766,0.01697759861768277,0.025963518049599753,0.0212503335313895,0.014360313315926894,0.006890020215462608
WAIT,4,767,0.026011911702027993,0.03988304650093796,0.03238237848670595,0.01955671447196871,0.01282566401473724
WAIT,5,766,0.03989446078567009,0.05981881467824249,0.04876907699965844,0.03263707571801567,0.01613200128164277
WAIT,6,767,0.05983931558627896,0.08965977364853919,0.07349073435382841,0.07953063885267275,-0.0060399044988443396
WAIT,7,766,0.08969182412951195,0.13791357459572073,0.11080448720005423,0.12663185378590078,-0.015827366585846547
WAIT,8,767,0.13793048961012092,0.2235653335364284,0.17689824424489756,0.19165580182529335,-0.014757557580395791
WAIT,9,766,0.22356669294111983,0.3984278915378698,0.29792625890811436,0.31201044386422977,-0.014084184956115409
WAIT,10,767,0.3984507161782135,0.9068679567281174,0.5880509653537385,0.5697522816166884,0.018298683737050014
