payment_id,policy_name,chosen_action
pay_000001_a1,WaitPolicy,WAIT
pay_000002_a2,WaitPolicy,WAIT
pay_000003_a3,WaitPolicy,WAIT
pay_000004_a4,WaitPolicy,WAIT
pay_000005_a1,WaitPolicy,WAIT
pay_000006_a2,WaitPolicy,WAIT
pay_000007_a1,WaitPolicy,WAIT
pay_000008_a2,WaitPolicy,WAIT
pay_000009_a3,WaitPolicy,WAIT
pay_000010_a4,WaitPolicy,WAIT
pay_000011_a1,WaitPolicy,WAIT
pay_000012_a1,WaitPolicy,WAIT
pay_000013_a2,WaitPolicy,WAIT
pay_000014_a3,WaitPolicy,WAIT
pay_000015_a4,WaitPolicy,WAIT
pay_000016_a1,WaitPolicy,WAIT
pay_000017_a2,WaitPolicy,WAIT
pay_000018_a3,WaitPolicy,WAIT
pay_000019_a1,WaitPolicy,WAIT
pay_000020_a2,WaitPolicy,WAIT
pay_000021_a3,WaitPolicy,WAIT
pay_000022_a4,WaitPolicy,WAIT
pay_000023_a1,WaitPolicy,WAIT
pay_000024_a2,WaitPolicy,WAIT
pay_000025_a1,WaitPolicy,WAIT
pay_000026_a2,WaitPolicy,WAIT
pay_000027_a1,WaitPolicy,WAIT
pay_000028_a2,WaitPolicy,WAIT
pay_000029_a3,WaitPolicy,WAIT
pay_000030_a4,WaitPolicy,WAIT
pay_000031_a1,WaitPolicy,WAIT
pay_000032_a2,WaitPolicy,WAIT
pay_000033_a3,WaitPolicy,WAIT
pay_000034_a1,WaitPolicy,WAIT
pay_000035_a1,WaitPolicy,WAIT
pay_000036_a1,WaitPolicy,WAIT
pay_000037_a2,WaitPolicy,WAIT
pay_000038_a3,WaitPolicy,WAIT
pay_000039_a4,WaitPolicy,WAIT
pay_000040_a1,WaitPolicy,WAIT
pay_000041_a1,WaitPolicy,WAIT
pay_000042_a2,WaitPolicy,WAIT
pay_000043_a3,WaitPolicy,WAIT
pay_000044_a1,WaitPolicy,WAIT
pay_000045_a2,WaitPolicy,WAIT
pay_000046_a3,WaitPolicy,WAIT
pay_000047_a4,WaitPolicy,WAIT
pay_000048_a1,WaitPolicy,WAIT
pay_000049_a2,WaitPolicy,WAIT
pay_000050_a3,WaitPolicy,WAIT
pay_000051_a1,WaitPolicy,WAIT
pay_000052_a1,WaitPolicy,WAIT
pay_000053_a1,WaitPolicy,WAIT
pay_000054_a2,WaitPolicy,WAIT
pay_000055_a1,WaitPolicy,WAIT
pay_000056_a1,WaitPolicy,WAIT
pay_000057_a1,WaitPolicy,WAIT
pay_000058_a2,WaitPolicy,WAIT
pay_000059_a1,WaitPolicy,WAIT
pay_000060_a1,WaitPolicy,WAIT
pay_000061_a2,WaitPolicy,WAIT
pay_000062_a1,WaitPolicy,WAIT
pay_000063_a1,WaitPolicy,WAIT
pay_000064_a1,WaitPolicy,WAIT
pay_000065_a1,WaitPolicy,WAIT
pay_000066_a1,WaitPolicy,WAIT
pay_000067_a1,WaitPolicy,WAIT
pay_000068_a1,WaitPolicy,WAIT
pay_000069_a1,WaitPolicy,WAIT
pay_000070_a1,WaitPolicy,WAIT
pay_000071_a1,WaitPolicy,WAIT
pay_000072_a2,WaitPolicy,WAIT
pay_000073_a3,WaitPolicy,WAIT
pay_000074_a4,WaitPolicy,WAIT
pay_000075_a1,WaitPolicy,WAIT
pay_000076_a2,WaitPolicy,WAIT
pay_000077_a1,WaitPolicy,WAIT
pay_000078_a1,WaitPolicy,WAIT
pay_000079_a1,WaitPolicy,WAIT
pay_000080_a1,WaitPolicy,WAIT
pay_000081_a2,WaitPolicy,WAIT
pay_000082_a1,WaitPolicy,WAIT
pay_000083_a1,WaitPolicy,WAIT
pay_000084_a2,WaitPolicy,WAIT
pay_000085_a3,WaitPolicy,WAIT
pay_000086_a4,WaitPolicy,WAIT
pay_000087_a1,WaitPolicy,WAIT
pay_000088_a2,WaitPolicy,WAIT
pay_000089_a3,WaitPolicy,WAIT
pay_000090_a1,WaitPolicy,WAIT
pay_000091_a2,WaitPolicy,WAIT
pay_000092_a1,WaitPolicy,WAIT
pay_000093_a2,WaitPolicy,WAIT
pay_000094_a1,WaitPolicy,WAIT
pay_000095_a2,WaitPolicy,WAIT
pay_000096_a3,WaitPolicy,WAIT
pay_000097_a1,WaitPolicy,WAIT
pay_000098_a2,WaitPolicy,WAIT
pay_000099_a1,WaitPolicy,WAIT
pay_000100_a2,WaitPolicy,WAIT
pay_000101_a1,WaitPolicy,WAIT
pay_000102_a2,WaitPolicy,WAIT
pay_000103_a1,WaitPolicy,WAIT
pay_000104_a2,WaitPolicy,WAIT
pay_000105_a1,WaitPolicy,WAIT
pay_000106_a1,WaitPolicy,WAIT
pay_000107_a2,WaitPolicy,WAIT
pay_000108_a3,WaitPolicy,WAIT
pay_000109_a1,WaitPolicy,WAIT
pay_000110_a2,WaitPolicy,WAIT
pay_000111_a3,WaitPolicy,WAIT
pay_000112_a1,WaitPolicy,WAIT
pay_000113_a2,WaitPolicy,WAIT
pay_000114_a3,WaitPolicy,WAIT
pay_000115_a4,WaitPolicy,WAIT
pay_000116_a1,WaitPolicy,WAIT
pay_000117_a1,WaitPolicy,WAIT
pay_000118_a1,WaitPolicy,WAIT
pay_000119_a1,WaitPolicy,WAIT
pay_000120_a1,WaitPolicy,WAIT
pay_000121_a1,WaitPolicy,WAIT
pay_000122_a1,WaitPolicy,WAIT
pay_000123_a2,WaitPolicy,WAIT
pay_000124_a3,WaitPolicy,WAIT
pay_000125_a4,WaitPolicy,WAIT
pay_000126_a1,WaitPolicy,WAIT
pay_000127_a1,WaitPolicy,WAIT
pay_000128_a2,WaitPolicy,WAIT
pay_000129_a1,WaitPolicy,WAIT
pay_000130_a1,WaitPolicy,WAIT
pay_000131_a2,WaitPolicy,WAIT
pay_000132_a1,WaitPolicy,WAIT
pay_000133_a2,WaitPolicy,WAIT
pay_000134_a1,WaitPolicy,WAIT
pay_000135_a1,WaitPolicy,WAIT
pay_000136_a1,WaitPolicy,WAIT
pay_000137_a2,WaitPolicy,WAIT
pay_000138_a3,WaitPolicy,WAIT
pay_000139_a4,WaitPolicy,WAIT
pay_000140_a1,WaitPolicy,WAIT
pay_000141_a2,WaitPolicy,WAIT
pay_000142_a3,WaitPolicy,WAIT
pay_000143_a1,WaitPolicy,WAIT
pay_000144_a2,WaitPolicy,WAIT
pay_000145_a1,WaitPolicy,WAIT
pay_000146_a2,WaitPolicy,WAIT
pay_000147_a3,WaitPolicy,WAIT
pay_000148_a4,WaitPolicy,WAIT
pay_000149_a1,WaitPolicy,WAIT
pay_000150_a2,WaitPolicy,WAIT
pay_000151_a3,WaitPolicy,WAIT
pay_000152_a4,WaitPolicy,WAIT
pay_000153_a1,WaitPolicy,WAIT
pay_000154_a2,WaitPolicy,WAIT
pay_000155_a3,WaitPolicy,WAIT
pay_000156_a4,WaitPolicy,WAIT
pay_000157_a1,WaitPolicy,WAIT
pay_000158_a1,WaitPolicy,WAIT
pay_000159_a2,WaitPolicy,WAIT
pay_000160_a1,WaitPolicy,WAIT
pay_000161_a1,WaitPolicy,WAIT
pay_000162_a2,WaitPolicy,WAIT
pay_000163_a3,WaitPolicy,WAIT
pay_000164_a4,WaitPolicy,WAIT
pay_000165_a1,WaitPolicy,WAIT
pay_000166_a2,WaitPolicy,WAIT
pay_000167_a1,WaitPolicy,WAIT
pay_000168_a2,WaitPolicy,WAIT
pay_000169_a1,WaitPolicy,WAIT
pay_000170_a2,WaitPolicy,WAIT
pay_000171_a1,WaitPolicy,WAIT
pay_000172_a1,WaitPolicy,WAIT
pay_000173_a1,WaitPolicy,WAIT
pay_000174_a2,WaitPolicy,WAIT
pay_000175_a1,WaitPolicy,WAIT
pay_000176_a2,WaitPolicy,WAIT
pay_000177_a3,WaitPolicy,WAIT
pay_000178_a1,WaitPolicy,WAIT
pay_000179_a1,WaitPolicy,WAIT
pay_000180_a2,WaitPolicy,WAIT
pay_000181_a3,WaitPolicy,WAIT
pay_000182_a1,WaitPolicy,WAIT
pay_000183_a2,WaitPolicy,WAIT
pay_000184_a1,WaitPolicy,WAIT
pay_000185_a2,WaitPolicy,WAIT
pay_000186_a3,WaitPolicy,WAIT
pay_000187_a4,WaitPolicy,WAIT
pay_000188_a1,WaitPolicy,WAIT
pay_000189_a1,WaitPolicy,WAIT
pay_000190_a1,WaitPolicy,WAIT
pay_000191_a2,WaitPolicy,WAIT
pay_000192_a3,WaitPolicy,WAIT
pay_000193_a1,WaitPolicy,WAIT
pay_000194_a2,WaitPolicy,WAIT
pay_000195_a1,WaitPolicy,WAIT
pay_000196_a1,WaitPolicy,WAIT
pay_000197_a1,WaitPolicy,WAIT
